district,Beating justified: wife goes out, Beating justified: wife neglects children,Beating justified: wife argues with husband,Beating justified: wife refuses sex,Beating justified: wife burns food,Justifies DV: wife unfaithful,Justifies DV: wife disrespect,Respondent's father ever beat mother,men_mobile_own,men_mobile_financial,men_mobile_own2,men_mobile_financial2,mv171a,mv171b,sm129,sm332b,sm630a,sm630b,sm630c,sm630d,sm630e,sm630f,sm630g,sm630h,sm630i,n_obs_men,Beating justified: wife goes out_f,Beating justified: neglects children_f,Beating justified: argues with husband_f,Beating justified: refuses sex_f,Beating justified: burns food_f, Justifies DV: wife unfaithful_f,Justifies DV: wife disrespect_f,Father ever beat mother,m34_1,m34_2,m34_3,m34_4,m34_5,m34_6,m4_1,m4_2,m4_3,m4_4,m4_5,m4_6,m38_1,m38_2,m38_3,m38_4,m38_5,m38_6,m39a_1,m39a_2,m39a_3,m39a_4,m39a_5,m39a_6,women_mobile_own,women_mobile_financial,v410,v410a,v411,v411a,v412,v412a,v412b,v412c,v413,v414a,v414b,v414c,v414d,v414e,v414f,v414g,v414h,v414i,v414j,v414k,v414l,v414m,v414n,v414o,v414p,v414q,v414r,v414s,v414t,v414u,v414v,v414w,s726a,s726b,s726c,s726d,s726e,s726f,s726g,s726h,s726i,n_obs_women,_merge,digital_gap_ownership,digital_gap_financial,digital_gap_ownership2,digital_gap_financial2
rajnandgaon,0.042846955,0.028223364,0.22115271,0.15728047,0.067463636,0.13396536,0.27043802,0.3063024,0.86189896,0.2248679,0.86189896,0.2248679,1.4084675,,0.46948916,1,2.3925295,1.5713609,1.4014529,2.5735934,2.1634104,2.1457622,2.1518104,2.6594548,2.5846431,70.70369178,0.01328565,0.083707847,0.13290347,0.13898301,0.04659912,0.12387716,0.25338253,0.37820452,32.958363,,,,,,77.911728,94,94,,,,0.049460739,0.049931947,0.15715961,0,,,0.31950539,,,,,,0.36975551,,0.060261089,,0.082985818,0.031442005,,0.031003674,,0.05495394,0.086457007,0,,,,0.29526752,0.13153076,0.040294755,,0.13033311,0.20026249,0.061317563,0.089301035,0,0,0.093526952,0.015460993,,,0.084595084,0.002777927,,0.017649679,,2.0717206,1.4475456,1.2952461,2.5341525,2.0508959,1.989367,1.9863204,2.3271234,2.0973747,167.6681273,Matched (3),0.49214345,,0.49214345,
rajouri,0.055092711,0.092533961,0.10238303,0.028990379,0.057504337,0.27037397,0.3055101,0.42304435,0.98563212,0.42828709,0.98563212,0.42828709,2.004209,,0.66806966,1,1.6308019,1.9446517,1.8867868,2.195179,1.9635974,1.8434252,2.1639359,2.0892661,1.9917516,91.59135604,0.39673012,0.45331737,0.43879703,0.64605457,0.24865903,0.52637726,0.656829,0.72971439,47.645363,,,,,,71.226273,94,94,,,,0.26963416,0.38707837,0.87147027,,,,0.58930266,1,,,,,0.52272487,,0.30877751,,0.4850587,0.14671256,,0.1958731,,0.23205371,0.15278207,0.14960873,,,,0.47203603,0.19064537,0.37884152,,0.20242178,0.39609402,0.2356763,0.42476642,0.11385813,0.11992089,0.27381968,0.2630361,,,0.24195649,0.11705976,,0.17160206,,1.6587908,1.9162955,1.6909311,2.2544043,1.9739408,1.2257694,2.0462737,1.8194038,1.8297918,121.1171516,Matched (3),0.46290725,,0.46290725,
mandsaur,0.062914953,0.057400141,0.025978183,0,0.058968976,0.17990541,0.22763953,0.3072803,0.92203051,0.27226207,0.92203051,0.27226207,1.5049492,,0.50164974,,1.502051,1.8862636,1.8958596,2.594348,0.98125738,0.84030002,0.85059834,2.3799813,1.6859393,68.91910237,0.34283301,0.45520827,0.45452726,0.36881474,0.30982003,0.40127432,0.59148192,0.2228526,71.568871,,,,,,71.5784,94,94,,,,0.05013198,0.12070197,0.31763381,0,,,0.4460918,,,,,,0.50878292,,0.07654012,,0.21976027,0.076951213,,0.046727173,,0.12432248,0.23606224,0,,,,0.32588193,0.029131258,0.011656972,,0.091614202,0.071824312,0.1048601,0.10649687,0.01260653,0,0.068796709,0.063667081,,,0.092835985,0,,0.057728834,,1.4240612,1.6689142,1.5068917,2.3654225,0.51663619,0.4463478,0.44918978,2.3698626,1.7168006,163.0778166,Matched (3),0.41324759,,0.41324759,
jammu,0.10481708,0.13258481,0.16802518,0.071329661,0.049054708,0.32553467,0.30067223,0.11137799,0.97664279,0.59643912,0.97664279,0.59643912,2.4417195,,0.81390649,1,1.2379229,1.3671051,1.2598981,1.6999478,1.8342937,1.6998718,1.4462547,2.2107704,2.1880164,173.9677838,0.13244693,0.13680346,0.24969503,0.19470994,0.073285058,0.25889719,0.2791695,0.39824101,61.537975,,,,,,60.554905,94,,,,,0.42717773,0.36389226,0,,,,0.55951148,,,,,,0.56778455,,0.35564467,,0.42292246,0.089323416,,0.22756085,,0.32313016,0.19299343,0.1093336,,,,0.45981696,0.25340697,0.15181875,,0.27482802,0.45116237,0.22857836,0.34593561,0.11295295,0,0.23694378,0.29545796,,,0.29090363,0.081433006,,0.038318682,,1.4311706,1.4485254,1.1840489,1.6951632,0.91124433,0.86888295,0.99169868,2.2387748,2.4071443,269.4374574,Matched (3),0.40885824,,0.40885824,
kamrup,0.23194425,0.27013224,0.2280291,0.25968346,0.098168112,0.25067627,0.42740268,0.55315262,0.94996488,0.16817659,0.94996488,0.16817659,1.0062252,,0.33540842,,2.103008,1.3308988,1.8310558,2.2488284,2.0461955,1.9725745,2.2575967,1.6889957,2.3692057,218.45469,0.45005271,0.75181818,0.81487679,0.83874923,0.65017229,0.75522023,0.89861757,1.9835656,38.209869,,,,,,84.683525,94,,,,,0.24029651,0.15584135,1,,,,0.5772543,,,,,,0.54149741,,0.082023479,,0.24110556,0.10987853,,0.19263333,,0.024769289,0.22441135,0.1066889,,,,0.38740551,0.12406043,0.16490719,,0.075526021,0.26075074,0.11510448,0.19866191,0.09081012,0.048023157,0.19016783,0.066133492,,,0.17405586,0.040520683,,0.016358748,,1.9089022,1.3538567,1.4541439,2.131917,2.0453711,1.9485031,2.2584321,1.6816181,1.6366812,141.4019398,Matched (3),0.40846747,,0.40846747,
alappuzha,0.37821221,0.57676262,0.24204506,0.38868362,0.27592206,0.69902068,0.54644525,0.039500274,1,0.31279236,1,0.31279236,2.3573496,,0.78578323,,1.3656759,1.791414,2.0498707,1.8882651,2.2046692,1.444521,2.4121525,2.0753002,2.0180421,257.3652574,0.38759235,0.59731227,0.4753117,0.42065763,0.26845181,0.47896409,0.5446558,0.18784192,52.826839,,,,,,61.033939,94,,,,,0.12549476,0.11686184,,,,,0.59448797,,,,,,0.59637654,,0.44088587,,0.28187597,0.25871176,,0.12574595,,0.035338264,0.21012762,0.016220501,,,,0.46806377,0.093108952,0.06767235,,0.13421386,0.12678879,0.32109934,0.20119996,0,0.050686955,0.084648043,0.051371917,,,0.20018362,0,,0.050087076,,1.3880434,1.8809644,2.1998634,1.8676534,2.015413,1.2411209,2.4057817,2.194664,2.2443073,261.3506479,Matched (3),0.40362346,,0.40362346,
shimoga,0.26721969,0.35071287,0.38681105,0.22657053,0.21286337,0.56750339,0.55667013,0.36416012,0.96084487,0.38644409,0.96084487,0.38644409,1.6269374,,0.54231244,,1.1940089,1.1210262,1.1550673,1.7749896,1.7379799,1.9147607,1.7810247,2.3262656,2.4472604,243.6342173,0.94315457,1.1204233,0.96668357,1.1444498,1.0502319,1.0142437,0.9968034,0.37877503,42.780708,,,,,,65.526741,94,,,,,0.10633582,0.098042376,0,,,,0.58196336,,,,,,0.55815268,,0.20171644,,0.37608132,0.23691937,,0.074436992,,0.14973013,0.16019312,0.093453944,,,,0.33911368,0.25517482,0.14847445,,0.26046222,0.34168452,0.20484783,0.29192641,0.073973067,0.10813744,0.13811688,0.16757283,,,0.31157526,0.11505557,,0.10012218,,1.3024765,1.1880122,1.1899372,1.77115,1.7766787,1.8591779,1.8777356,2.0079567,2.1468437,138.3111222,Matched (3),0.4026922,,0.4026922,
dhalai,0.076941736,0.039737985,0.041421682,0.23006749,0.028470434,0.07251855,0.051492561,0.21702851,0.78313118,0.04614722,0.78313118,0.04614722,0.92893851,,0.30964616,0,1.2814913,1.7648199,1.1428461,2.1809275,2.083606,1.847972,2.1013134,1.4992081,1.3575864,54.67257726,0.14283726,0.19296406,0.38492218,0.2127987,0.028438689,0.18567242,0.46424451,1.8833551,53.897141,,,,,,75.637016,94,,,,,0.076398857,0.027838454,0,,,,0.41027796,,,,,,0.38051462,,0.031076813,,0.23604992,0.021058941,,0.020536941,,0.021006323,0.037535872,0.028614283,,,,0.28474194,0.14345276,0.15560414,,0.13196559,0.21568915,0.23099662,0.084684595,0.018795732,0.039094035,0.075774603,0.005491059,,,0.15911652,0,,0,,2.0578811,2.0824845,1.5809932,2.5104606,2.3164899,2.1892905,2.2981746,2.1442056,2.726078,44.3978979,Matched (3),0.40261656,,0.40261656,
haveri,0.30207777,0.47030231,0.44473526,0.41816825,0.29245892,0.5433386,0.65425307,0.70006102,0.91748738,0.16194932,0.91748738,0.16194932,1.2543502,,0.41811672,,1.4626284,1.2928908,1.3008219,2.1472647,2.0660641,1.74278,1.9973125,2.0675437,1.7340447,221.5352184,0.83265972,0.98814082,1.0197113,1.3337365,1.046205,1.111088,1.1699903,0.36169177,35.476574,,,,,,67.528236,94,94,,,,0.14633654,0.11978541,0.43866652,,,,0.50414133,,,,,,0.52408886,,0.24874429,,0.27053449,0.16174233,,0.14591035,,0.24626064,0.21894024,0.039662424,,,,0.25593889,0.0903221,0.12193498,,0.12133894,0.15701622,0.13218792,0.18119314,0.05410352,0.064522035,0.062184077,0.16051832,,,0.25356585,0.057281129,,0.12145481,,1.2374274,1.191052,1.25971,2.0140047,1.5507723,1.5715224,1.5372469,2.1919227,2.16555,130.2532877,Matched (3),0.39339852,,0.39339852,
samba,0.24915135,0.21451829,0.18807325,0.14849204,0.083755597,0.58582032,0.30109382,0.29960009,0.99129134,0.43138465,0.99129134,0.43138465,2.1069059,,0.70230192,1,1.2017452,1.4616854,1.3241076,1.4100367,1.2805814,1.3101627,1.134024,1.6509265,1.8323485,38.7024992,0.32726058,0.28023341,0.26848057,0.4342221,0.15999731,0.39377034,0.33231604,0.32371193,74.665466,,,,,,66.309372,94,,,,,0.47401416,0.35541537,0,,,,0.58948016,1,,,,,0.61292356,,0.29704612,,0.51799041,0.1562496,,0.11832044,,0.33658683,0.18462493,0.050325394,,,,0.50809115,0.23958743,0.11374595,,0.26021948,0.42668495,0.20808025,0.50281191,0.033436779,0.017374555,0.30618647,0.33243492,,,0.3092362,0.008285071,,0.1390706,,1.5396523,1.4382596,1.2595748,1.8995913,0.94002581,0.70941937,0.94084108,2.1873431,2.3503196,48.71039392,Matched (3),0.37836778,,0.37836778,
