district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents
nicobars,,andaman & nicobar islands,26.295689,31.898176,1.8475701,9.2233067,91.084518,0.12784418,82.783783,15.761432,1.0192378,-84565.21464,2.6107416,0,100,4.6619391,64.342125,3.6054313,62.165165,32.519466,15.23803808
north  & middle andaman,,andaman & nicobar islands,7.0535126,32.041042,1.7785342,8.4216928,91.050468,0.096844018,0.46134996,72.877861,26.427534,-51206.86413,2.7577953,1.8409076,98.159096,4.1925063,74.311943,3.8626709,86.068909,31.298498,56.94256974
south andaman,,andaman & nicobar islands,15.741104,31.752289,1.9920443,9.9029751,92.335854,2.4607086,5.0513244,74.966995,16.6891,730019.159,3.8656414,62.637825,37.362179,4.2915072,70.810921,6.5966263,80.538124,46.738388,126.2847469
anantapur,48.41629028,andhra pradesh,46.875237,32.492176,1.2687711,5.891118,66.149704,24.453644,2.7495987,12.525518,60.27124,290187.2547,3.1722143,33.733852,66.266151,4.5204463,79.11615,6.9926209,48.076813,46.130554,2337.799153
chittoor,37.10190964,andhra pradesh,49.31908,32.219227,1.5284005,7.2063074,75.050499,27.508228,4.8742537,21.345467,46.272053,398295.1029,3.3381231,29.328972,70.671028,4.424562,76.951859,6.989131,46.442913,47.295368,2241.21446
east godavari,17.77150917,andhra pradesh,47.130089,31.81398,1.6394161,7.7169061,82.288086,19.175615,1.5715009,39.427708,39.542675,407150.5912,3.4027255,27.486362,72.513641,4.1703815,74.822174,8.0852995,49.589012,46.1549,3052.469259
guntur,35.7534256,andhra pradesh,47.517834,31.954746,1.361927,6.292201,69.759705,34.125942,3.516952,26.819927,35.421322,449488.619,3.4498858,36.045589,63.954407,4.2540154,78.70929,7.77841,38.348293,51.527649,2865.182588
krishna,22.80966759,andhra pradesh,43.817188,32.131184,1.6062914,7.7437387,80.151024,21.358793,2.5238874,27.438641,48.5756,430234.482,3.4216008,41.870289,58.129711,4.1205287,71.592545,9.4872255,52.725666,48.15625,2658.980615
kurnool,46.92737579,andhra pradesh,57.184994,31.010937,1.1637403,5.5776029,57.682133,21.104544,1.0739439,8.2516499,69.569862,245555.4052,3.1230443,31.434175,68.565819,4.8295584,75.466446,7.1001964,36.402737,36.97456,2295.293777
prakasam,33.74689865,andhra pradesh,57.997963,31.861183,1.2899798,6.0539532,64.358932,22.960142,6.1169209,29.241388,41.681545,394899.6155,3.3739784,23.65213,76.34787,4.2437797,79.430595,7.8789959,36.530884,44.833923,1732.753577
sri potti sriramulu nellore,33.91304398,andhra pradesh,40.32262,32.422604,1.4695116,6.9695673,74.616173,26.942396,9.6137104,10.857055,52.586842,449950.7551,3.4585919,31.948376,68.05162,4.4375443,72.721634,9.3702097,47.52467,38.116684,2001.57273
srikakulam,30.57471275,andhra pradesh,36.789726,31.994066,1.4396259,7.007844,70.639023,12.744581,2.1512508,6.5116296,78.592537,219102.6418,3.0721464,17.856567,82.143433,4.3950386,71.972,9.3095322,59.891502,47.19981,1385.325462
visakhapatnam,29.69697189,andhra pradesh,23.826767,31.848814,1.528358,7.4694238,73.96386,10.170009,12.962541,22.118567,54.748886,430964.3378,3.434119,49.275848,50.724155,4.0919094,74.365303,8.5228081,66.980865,55.005371,2599.522807
vizianagaram,30.28846169,andhra pradesh,58.318321,32.027199,1.2786334,6.0961003,65.327744,12.019251,7.2535729,8.6731119,72.054062,42323.75967,2.8169556,19.521927,80.478073,4.3961926,74.238106,7.9622283,32.777504,46.688576,1266.239391
west godavari,19.66292191,andhra pradesh,33.704544,32.238667,1.6050541,7.6553631,81.093369,30.434673,0.58649009,30.870861,38.107975,575244.7013,3.6425149,19.084372,80.915627,4.2594481,76.485474,8.6052408,58.304626,51.832645,2381.336065
y.s.r.,29.97811699,andhra pradesh,32.959183,32.57093,1.3419322,6.488245,66.124016,21.690369,1.4962604,23.98881,52.824562,576914.5891,3.6435347,33.862183,66.137817,4.5177803,76.851112,6.1967015,59.656876,40.864338,1878.143001
anjaw,,arunachal pradesh,13.092537,31.222614,1.3382599,6.135561,71.083374,5.0659866,92.19458,0.23711812,2.5023134,-557186.9912,1.9531236,2.4205925,97.579407,4.0519156,69.690605,3.0903301,77.348557,30.660334,9.965245999
changlang,31.75852966,arunachal pradesh,19.571251,30.782061,1.5463386,7.1276507,80.482307,4.0597463,45.618561,38.531017,11.790676,-381265.3324,2.2479491,3.0805728,96.919426,5.0752764,71.045815,2.670578,71.882263,27.114927,62.64198445
dibang valley,22.22222328,arunachal pradesh,9.0149384,31.37285,1.6252458,7.6566844,81.636139,7.6191368,89.926979,0.76434398,1.5073574,-191091.4028,2.4839697,36.52636,63.47364,4.023747,65.145676,3.2904739,86.344536,35.494465,4.940139006
east kameng,9.615385056,arunachal pradesh,17.318962,30.920835,1.2555892,5.9585385,63.737125,2.2523234,97.343208,0.11373728,0.29073298,-378835.7771,2.2809236,14.050176,85.949829,4.6617208,71.328964,3.9503205,68.997887,31.712576,28.79024601
east siang,21.33891296,arunachal pradesh,6.1513138,30.473961,1.8681026,9.2042713,85.639412,12.054914,85.112961,0,2.2963855,112841.6094,2.9557991,36.136925,63.863075,4.6036534,64.25872,2.5244813,85.403778,32.585915,40.59950685
kra daadi,,arunachal pradesh,18.966377,31.15139,1.1443697,5.3961992,59.054852,4.5931635,94.890129,0,0.14633922,-103181.7366,2.5860786,0,100,5.0930591,77.743095,3.0038233,74.699089,22.818836,15.17752402
