district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents,m_mean_age,m_mean_yrs_edu,m_literacy_rate,m_urban_share,m_pct_sc,m_pct_st,m_pct_obc,m_pct_general,m_mean_wealth_idx,m_mean_hh_size,m_pct_married,m_pct_owns_mobile,m_pct_uses_internet,m_pct_currently_working,m_n_respondents,total_respondents,mean_age,urban_share,pct_sc,pct_st,pct_obc,pct_general,mean_hh_size,mean_wealth_idx,dd_mobile_own_5,dd_mobile_own_4,dd_gap,treatment_status,f_mean_bf_dur_c1
adilabad,32.65306091,telangana,50.138683,30.608635,1.3540546,6.6189284,65.587166,16.131357,29.970905,7.6727839,44.743126,45585.53879,2.8541787,26.268356,73.731644,4.6940379,72.894798,7.9924488,40.360081,31.518677,425.6452859,33.313477,7.6298842,72.538597,24.6786,5.6322956,31.023142,58.373188,4.9713755,-87495.391,4.9544497,68.523384,90.498764,0.0,82.563492,95.73362327,521.3789091699999,31.10528785741055,25.97645101627616,14.203559056741671,30.164112778022933,47.24582643092458,7.176761507234417,4.741853729750286,-16063.242652985464,,,,,70.459023
agar malwa,,madhya pradesh,70.38485,30.799053,1.1530837,5.2600293,64.495285,19.424776,2.9788249,22.774286,54.695629,-43777.08605,2.7183945,20.300821,79.699181,5.2127409,76.752434,3.3045502,22.350174,22.801432,280.008604,32.0219,6.5192738,68.326218,20.185007,23.761957,2.7863727,35.270084,38.181583,-192475.52,4.5938482,68.137161,92.735023,0.0,76.983971,19.52222714,299.53083114,30.87875329930011,20.2932727045361,19.707456191241207,2.9662816317571505,53.42954931008975,23.77847228193521,5.172403937628869,-12542.246927244132,,,,,77.916145
agra,5.569007397,uttar pradesh,47.109463,29.445339,1.453236,7.0034637,71.480148,32.112534,0.7277863,26.152796,40.783588,646733.3734,3.7223408,60.984074,39.015923,6.4110012,68.531441,3.6582935,39.867786,37.12693,3120.939262,30.471294,8.7931261,75.65699,54.694824,25.397882,0.0,35.849163,38.752956,500557.25,6.4731264,63.489891,86.977249,0.0,66.620262,153.2311005,3274.1703625,29.49335367129323,60.68973723919572,31.798288435010853,0.6937259172676022,40.55265701921029,26.74248320912917,6.413908657985026,23429.6163568376,47.109463,52.236599,-5.127136,treated,64.289711
ahmadabad,14.34302902,gujarat,26.449638,31.456207,1.7723805,8.4026508,84.075867,21.410913,7.3571963,27.426104,43.560951,1033666.587,4.2530665,82.109169,17.890827,5.6645598,71.854576,4.6656866,71.727058,50.406158,3747.728083,32.536858,10.14802,94.327286,83.697105,21.765234,4.5932441,41.576233,32.065289,1144382.0,5.270638,62.246628,98.176697,0.0,83.20517,831.4998403,4579.2279233,31.652432466163848,82.39750767903546,21.47525088836233,6.8553156661047066,43.20056433052598,28.26849089386797,5.593031166947238,207801.27251084964,,,,,53.783146
ahmadnagar,,maharashtra,51.732426,30.833387,1.8261687,8.6400986,88.874695,11.696818,10.957435,50.754566,26.479193,409558.0277,3.3438842,22.383564,77.616432,5.7037516,76.23156,4.9239135,44.230579,48.692009,2684.663984,34.47768,10.273335,90.817871,21.987316,6.9514222,18.774988,18.7561,53.778488,427473.66,5.4058876,69.195099,95.963005,0.0,79.40316,593.1125557,3277.7765397,31.49282058516668,22.311863058485383,10.838140235772777,12.372018569987532,25.08170193504838,51.301743662642494,5.649853209993465,77353.95293472857,51.732426,48.758026,2.9744,treated,55.465195
aizawl,30.34705544,mizoram,3.9138107,31.339737,2.1358807,10.475488,99.083,0.77224058,98.299858,0.087032929,0.73212808,937246.3835,4.1948848,84.308899,15.691103,4.9260492,49.822937,9.1969824,89.576729,40.623848,238.4269913,30.141907,10.696735,99.125809,84.909012,0.87418872,97.608315,1.5174954,0.0,842287.25,4.9399819,42.179523,93.49054,0.0,73.155289,45.0957548,283.5227461,31.14921596168785,84.40435006723376,0.7884559573797553,98.18986451979204,0.8570448021248678,0.0731898928425923,4.928265267781313,133973.65817531495,3.9138107,7.5489197,-3.635109,treated,63.273609
ajmer,18.18181801,rajasthan,37.285614,29.882622,1.5469142,7.5122757,74.561104,19.824242,4.033917,17.955523,57.822365,684030.8911,3.765135,40.577911,59.422089,6.0866747,71.618927,3.4404862,56.459435,42.563461,1577.283944,31.545586,9.4668779,90.663681,45.795406,17.071468,0.0,60.343384,22.585146,689864.63,6.1011224,64.588463,93.745049,0.0,79.408226,106.4366314,1683.7205754,29.98774650158628,40.90773567534105,19.6502250070106,3.778912373282059,57.98173156828682,18.248185264731724,6.087588013373932,43613.41608523404,37.285614,42.034859,-4.749245,treated,58.343246
akola,,maharashtra,59.235783,31.213789,1.9187055,9.2324762,94.955788,19.016052,6.2401104,31.445049,43.298786,486739.1376,3.4955359,41.884754,58.115242,5.7249122,74.170532,4.4875727,36.305775,46.385227,1175.62543,32.966949,9.063652,89.504486,34.011383,15.795233,0.52411956,42.903305,40.777344,311653.5,5.9771538,65.499672,95.541557,0.0,84.197304,299.7400842,1475.3655142,31.56996672067894,40.28517419163129,18.361699875756106,5.07883100233355,43.218438786310536,33.34102858075902,5.776158428609146,63319.32993755496,59.235783,65.259262,-6.023479,treated,58.026402
alappuzha,22.1374054,kerala,24.17186,33.402626,2.3565857,11.946559,100.0,8.8746719,0.0,31.614292,58.647038,905582.9106,4.1097608,53.987495,46.012505,4.3907514,74.173584,3.6760502,75.82814,44.910583,1072.437886,36.207813,11.276764,97.457664,54.131668,5.6153083,0.0,64.267303,29.311943,854492.0,4.1400566,58.293736,100.0,0.0,68.86618,257.3652574,1329.8031434,33.94553167584631,54.01539771736031,8.243866539043,0.0,59.73476361981088,31.168703759401748,4.342232841406524,165378.58410165732,24.17186,22.718651,1.453209,treated,62.949856
aligarh,7.014028072,uttar pradesh,47.432156,29.21187,1.4431889,7.0264025,72.836426,23.222879,1.3749776,28.299145,46.594559,436101.4508,3.4192889,34.734016,65.265984,6.1125064,70.816963,3.2342355,42.557949,35.187561,2041.512156,30.181339,9.5186338,82.018028,35.748196,25.731199,0.0,44.060196,29.593527,394396.5,6.329123,61.385391,89.990105,0.0,74.946686,134.6263062,2176.1384622,29.271845977040297,34.79675801278713,23.3780556407484,1.2899149265483285,46.43777121503754,28.37922164516696,6.125907336211624,24402.45665221924,47.432156,61.073059,-13.640903,treated,64.452438
