district,total_weight_district,m_justify_beating_goes_out,m_justify_beating_neglect_kids,m_justify_beating_argues,m_justify_beating_refuses_sex,m_justify_beating_burns_food,m_num_control_issues,m_ever_humiliated_hp,m_ever_threatened_harm_hp,m_ever_insulted_hp,m_experienced_emotional_viol,m_pushed_shook_thrown,m_slapped,m_punched_hit_harmful,m_kicked_dragged,m_strangled_burnt,m_threatened_weapon,m_forced_unwanted_sex,m_forced_other_unwanted_sex,m_arm_twisted_hair_pulled,m_forced_unwanted_sexual_acts,m_experienced_less_severe_phys,m_experienced_severe_phys_sex,m_experienced_any_physical_viol,m_experienced_any_sexual_viol,m_injury_broken_bones_teeth,m_injury_deep_wounds_bleeding,m_injury_head_internal,m_injury_wounds_brokenbones,m_injury_severe_burns,m_experienced_any_listed_injury,m_respondent_physically_hurt,m_freq_hurt_hp_last12m,m_hp_drinks_alcohol,m_freq_hp_drunk,m_freq_hit_last12m_non_hp,m_hp_hurt_during_pregnancy,m_not_hurt_during_pregnancy,m_father_beat_mother,m_hp_jealous_other_men,m_hp_accuses_unfaithful,m_hp_limits_female_friends,m_hp_limits_family_contact,m_hp_insists_know_where_is,m_hp_no_trust_money
kupwara,131161360,0.26008165,0.22965498,0.21232544,0.24530374,0.060873803,0.2224769,0.10031041,0.012054022,0.077757187,0.075040646,0.069013625,0.10906269,0.07231538,0.14463079,0.025133722,0.018521477,0.10524375,0.090260357,0.0174958,0.1644588,0.095838197,0.075549126,0.10273871,1.8457164,0.005441778,0.033436805,0,0.009328769,0.015287749,0.042697545,0.036670532,0.067899287,0.015872983,0.025718953,0.062571384,0.021899987,0.61686462,0.23152016,0.12415643,0.022848086,0.025201751,0.030126328,0.009260738,0.010883556
badgam,118174320,0.3187626,0.28868124,0.19114903,0.079755411,0.04808984,0.19876432,0,0.023431588,0,0.011715794,0,0.082735091,0,0,0.003994548,0,0,0,0.024061758,0,0.049763884,0.003994548,0,1.1631333,0,0,0,0,0,0,0.013858045,0.027716089,0.003994548,0.007989097,0,0.00893607,0.51022887,0.061519906,0.057082251,0.040424932,0.023095889,0.02793706,0.017053036,0.033171151
leh(ladakh),125616312,0.21666566,0.19331422,0.22178146,0.182326,0.1313282,0.68993974,0.21072769,0.093126893,0.082760699,0.15302302,0.097295165,0.11882481,0.071172096,0.095814735,0.053735711,0.0388228,0.13742438,0.1083662,0.084061421,0.12794888,0.12978697,0.078519866,0.10123034,3.5549238,0.018974423,0.025521694,0,0.012514434,0.025521694,0.044988941,0.049287308,0.098574616,0.284686,0.46335301,0.009227862,0,0.63645327,0.32224157,0.17691292,0.095310934,0.074126959,0.087404102,0.15285851,0.10332636
kargil,109161160,0.40671033,0.41367283,0.31742996,0.16283922,0.068730794,0.68169463,0.15361959,0.047363605,0.038341496,0.093215056,0.018873032,0.11560948,0.011637107,0.046730146,0,0,0,0,0,0,0.058223091,0.026373766,0,0.16046986,0,0,0,0,0,0,0.031064492,0.038064584,0.023943022,0.042067491,0.024003593,0,0.62953937,0.20725049,0.21819973,0.074887395,0.098115169,0.058691341,0.10951479,0.12228617
punch,94302928,0.30525622,0.27572072,0.25100097,0.079949945,0.057258807,0.47909436,0.052127641,0.045251276,0.024387365,0.058123264,0.076827899,0.075482078,0.011824765,0,0,0,0.044547971,0,0.045948096,0.034121081,0.081896491,0,0.039334524,0.755292,0,0.005873105,0,0,0,0.005873105,0.022273986,0.044547971,0.02233672,0.044673439,0,0.005275053,0.61315876,0.37732276,0.36204806,0.052684672,0.068807535,0.065711319,0.13549753,0.081529051
rajouri,155943200,0.49881136,0.52265894,0.50182736,0.44650733,0.39365202,0.28489903,0.029865259,0.057310604,0.1042058,0.10358211,0.12781928,0.14677164,0.14858802,0.10179241,0.054413229,0.050589304,0.086440079,0.1153412,0.14640479,0.082240701,0.13051413,0.070281439,0.073981188,2.6155818,0.045403898,0.018655311,0,0.013058716,0.026847359,0.045403898,0.020422064,0.027785411,0.074910581,0.13228385,0.009609159,0.019212868,0.61466587,0.11385304,0.046549827,0.042965118,0.027785411,0.047124479,0.05284556,0.067628615
kathua,115875752,0.22602941,0.13795257,0.14970687,0.14536214,0.16034579,0.70130318,0.037948545,0.007474316,0.037948545,0.02271143,0.065060243,0.038375355,0.093925156,0.050151147,0,0,0,0,0.057660483,0,0.069381014,0.025075573,0,0.97844684,0.025075573,0,0,0,0,0.025075573,0.031725463,0.063450925,0.13296202,0.26592404,0,0,0.66353881,0.08435224,0.10365597,0.061138976,0.21862569,0.049720541,0.041975081,0.2261869
baramula,223620000,0.55109334,0.44823101,0.34173137,0.58248502,0.2020434,0.38064533,0.021359574,0.059598166,0.045764193,0.051163383,0.070993125,0.056473512,0.012316358,0.035420798,0.006158179,0.023083856,0.025388516,0.016925678,0.049485065,0.010220088,0.052776486,0.030201856,0.013572883,0.1466226,0.006158179,0.019731062,0,0.013572883,0.011268223,0.019731062,0.053968076,0.10177797,0,0,0.099405251,0.011994781,0.48075169,0.21401134,0.098393783,0.047038119,0.081337258,0.04924988,0.047143951,0.057482339
bandipore,69011168,0.35577145,0.38787526,0.42478997,0.3476249,0.21616209,0.62892777,0.081687532,0.039262455,0.064576127,0.054920632,0.052397519,0.053395968,0.011312054,0.030274592,0,0,0.04266566,0,0.02259556,0.04266566,0.036387227,0.011976874,0.014221886,0.035805479,0,0,0,0,0.005656027,0.005656027,0.014221886,0.028443772,0,0,0.03200911,0,0.62295389,0.28280547,0.18256344,0.10648291,0.082659014,0.097734228,0.072182842,0.08730536
srinagar,239232448,0.26392758,0.24003202,0.25264263,0.12266983,0.096486792,0.15899819,0.0730009,0,0.014475779,0.043738339,0,0.012984342,0.03650045,0.054750673,0,0,0,0,0.027460121,0,0.031980287,0.018250225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53493166,0.40624243,0.039281763,0.026430884,0.018250225,0.024804821,0.024742397,0.025488114
ganderbal,51030440,0.4633235,0.48565555,0.53400701,0.37850398,0.33532363,0.38445979,0.13129359,0.058735393,0.024619855,0.088045374,0.034752376,0.08039435,0,0.010809744,0,0,0,0.010809744,0.049582876,0.010809744,0.039801225,0.005404872,0.005404872,0.10967421,0,0,0,0,0,0,0.005404872,0,0,0,0.061832879,0.011584125,0.64881814,0.04143472,0.14772169,0.042538766,0.055175811,0.044782624,0.044743568,0.049497299
pulwama,89631112,0.1728548,0.21209671,0.16177033,0.10466611,0.068513907,0.17742385,0.006092918,0,0.011346328,0.011766082,0.023612047,0,0,0,0,0,0,0,0,0,0.011806023,0,0,0.047224093,0,0,0,0,0,0,0,0,0,0,0,0,0.49796316,0,0.078955933,0.019569645,0.025822563,0.01389648,0.007803563,0.031375669
shupiyan,40757472,0.19241317,0.15171829,0.23322278,0.14209746,0.16421951,0.19733471,0.074377231,0.05450711,0.06444747,0.08347863,0.033896409,0.057144318,0.024064202,0.006270703,0.04271001,0.027625708,0.030334905,0.030111067,0.021355005,0.059624799,0.045011058,0.028897155,0.042710893,3.0527713,0.010677502,0.007542151,0,0.010677502,0,0.018219654,0.004707898,0.004707898,0.00975134,0.019502681,0.042763937,0.014759306,0.57600492,0.039747339,0.08799167,0.022001389,0.033661336,0.00975134,0.034895074,0.009033902
anantnag,186498816,0.37118319,0.36973503,0.16669866,0.066491172,0.087490715,0.13584058,0.013364739,0.012753433,0.012753433,0.013059085,0,0.04853671,0,0.03596887,0.01199524,0,0,0,0,0,0.020048143,0.023982055,0,0.099676535,0,0,0,0,0,0,0,0,0,0,0.029116828,0,0.48554012,0.17758079,0.1029379,0.012749898,0,0.006565495,0.007589662,0.00599762
kulgam,97236320,0.31001016,0.33091339,0.3300083,0.097591579,0.049165331,0.16837148,0.014675226,0.0053975,0.023564456,0.019119842,0.019600146,0.008805146,0,0,0,0,0,0,0,0,0.009800073,0,0,0.11078558,0,0,0,0,0,0,0.010142085,0.009277727,0,0,0,0,0.58125448,0.032610457,0.037543163,0.01930505,0.025723711,0.010036363,0.019799598,0.055963606
doda,73286408,0.37870514,0.39557377,0.38792649,0.19357882,0.26421505,0.19746421,0,0.013069217,0.007786737,0.014321346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019188743,0.038377486,0.02037794,0.033447158,0.091997467,0,0.73237258,0.10013647,0.082079761,0.006826286,0.047902212,0.034388054,0,0.026267899
