district,men_mobile_own,men_mobile_financial,men_mobile_own2,men_mobile_financial2,n_obs_men,women_mobile_own,n_obs_women,digital_gap_ownership
rajnandgaon,0.86189896,0.2248679,0.86189896,0.2248679,70.70369178,0.36975551,167.6681273,0.49214345
rajouri,0.98563212,0.42828709,0.98563212,0.42828709,91.59135604,0.52272487,121.1171516,0.46290725
mandsaur,0.92203051,0.27226207,0.92203051,0.27226207,68.91910237,0.50878292,163.0778166,0.41324759
jammu,0.97664279,0.59643912,0.97664279,0.59643912,173.9677838,0.56778455,269.4374574,0.40885824
kamrup,0.94996488,0.16817659,0.94996488,0.16817659,218.45469,0.54149741,141.4019398,0.40846747
alappuzha,1,0.31279236,1,0.31279236,257.3652574,0.59637654,261.3506479,0.40362346
shimoga,0.96084487,0.38644409,0.96084487,0.38644409,243.6342173,0.55815268,138.3111222,0.4026922
dhalai,0.78313118,0.04614722,0.78313118,0.04614722,54.67257726,0.38051462,44.3978979,0.40261656
haveri,0.91748738,0.16194932,0.91748738,0.16194932,221.5352184,0.52408886,130.2532877,0.39339852
samba,0.99129134,0.43138465,0.99129134,0.43138465,38.7024992,0.61292356,48.71039392,0.37836778
gurgaon,0.95726973,0.59426087,0.95726973,0.59426087,49.90927443,0.59268278,134.2116399,0.36458695
muzaffarpur,0.97321284,0.15554878,0.97321284,0.15554878,512.967145,0.60918695,400.1880358,0.36402589
chirang,0.90308976,0.17047419,0.90308976,0.17047419,55.54769987,0.54229254,40.91452125,0.36079723
balrampur,0.87503684,0.2118302,0.87503684,0.2118302,58.45591161,0.51426536,187.9505447,0.36077148
jhunjhunun,0.95672154,0.35326332,0.95672154,0.35326332,84.58039504,0.60298276,213.517109,0.35373878
cachar,0.89757365,0.26888636,0.89757365,0.26888636,245.0691605,0.54766154,166.136753,0.34991211
hassan,0.95195729,0.42413065,0.95195729,0.42413065,228.8798701,0.60639578,163.9561698,0.3455615
krishna,0.96542853,0.41958639,0.96542853,0.41958639,616.525847,0.62310928,460.9203953,0.34231925
patiala,0.96845835,0.41144067,0.96845835,0.41144067,110.3400302,0.62893295,170.2680132,0.3395254
maldah,0.88054162,0.13448022,0.88054162,0.13448022,487.2486939,0.54188162,374.8980491,0.33866
rewari,0.89091563,0.54986584,0.89091563,0.54986584,32.62708446,0.55798632,93.84796003,0.33292931
sri potti sriramulu nellore,0.87847286,0.36119547,0.87847286,0.36119547,410.5550227,0.5463993,376.5209857,0.33207357
hamirpur,0.93210059,0.10470331,0.93210059,0.10470331,50.52100328,0.60020989,84.08748478,0.3318907
sagar,0.90118062,0.17967202,0.90118062,0.17967202,120.122501,0.56997991,177.9280462,0.33120072
moga,0.94734877,0.22676085,0.94734877,0.22676085,46.28516831,0.61737633,90.98543712,0.32997245
jalna,0.950661,0.13453613,0.950661,0.13453613,289.2534461,0.62679571,173.0097847,0.32386529
uttar dinajpur,0.91463876,0.12847841,0.91463876,0.12847841,368.7018083,0.59184515,288.3664588,0.3227936
bijapur,0.66617888,0.18310617,0.66617888,0.18310617,10.25096697,0.34392792,27.26837771,0.32225096
punch,0.97314245,0.51692683,0.97314245,0.51692683,61.08785996,0.65129334,106.7862863,0.32184911
jhabua,0.8867175,0.090473726,0.8867175,0.090473726,30.59608726,0.56504172,99.26213697,0.32167578
udupi,0.96621734,0.32748535,0.96621734,0.32748535,152.4207459,0.64596695,120.2562649,0.32025039
north goa,0.97288853,0.49358508,0.97288853,0.49358508,115.4088866,0.65266085,252.3814643,0.32022768
koch bihar,0.92401069,0.06946826,0.92401069,0.06946826,440.0945842,0.60379618,277.8383675,0.32021451
srikakulam,0.96681225,0.25071627,0.96681225,0.25071627,278.1042731,0.64701611,241.3830683,0.31979614
anantnag,0.97986948,0.62618864,0.97986948,0.62618864,103.6934484,0.66112131,191.8032595,0.31874818
leh(ladakh),1,0.37987366,1,0.37987366,12.20503993,0.68273181,15.6317,0.31726819
ganderbal,0.97706342,0.33623946,0.97706342,0.33623946,32.08082169,0.66023922,48.34007164,0.3168242
bongaigaon,0.91163909,0.035232678,0.91163909,0.035232678,90.5300234,0.59875089,60.80507001,0.31288821
hardoi,0.88374424,0.086876392,0.88374424,0.086876392,173.1815171,0.57114947,310.4352381,0.31259477
mahe,0.96330851,0.66976577,0.96330851,0.66976577,1.415779005,0.65072787,4.857530996,0.31258065
palwal,0.88640165,0.40542206,0.88640165,0.40542206,45.82559647,0.57563895,86.23587927,0.3107627
west kameng,0.98697811,0.44695461,0.98697811,0.44695461,2.080647015,0.67712158,5.592015941,0.30985653
kolar,0.966313,0.45842448,0.966313,0.45842448,210.2754784,0.65739477,150.2434606,0.30891824
barpeta,0.87330228,0.40016052,0.87330228,0.40016052,222.2206836,0.56512547,145.204116,0.30817682
nagaur,0.91887116,0.30880708,0.91887116,0.30880708,165.9962519,0.61133176,276.9477139,0.3075394
shupiyan,0.99340874,0.47702318,0.99340874,0.47702318,26.02178192,0.68600303,44.236587,0.30740571
mumbai,0.99224138,0.56648505,0.99224138,0.56648505,489.0426531,0.68707174,242.4032438,0.30516964
neemuch,0.95770061,0.271909,0.95770061,0.271909,38.33641922,0.65341181,90.55339277,0.3042888
dakshin dinajpur,0.85180986,0.027793003,0.85180986,0.027793003,256.6517917,0.54772675,150.784297,0.30408311
upper siang,0.93957859,0.229039,0.93957859,0.229039,0.910952009,0.63653731,1.707580008,0.30304128
bangalore rural,0.94029671,0.6327312,0.94029671,0.6327312,138.0235502,0.6379264,96.98168361,0.30237031
siwan,0.8880561,0.078342885,0.8880561,0.078342885,259.0637248,0.58649987,299.0977861,0.30155623
srinagar,0.98588312,0.58233327,0.98588312,0.58233327,147.3934307,0.68498522,225.7263477,0.3008979
papum pare,0.96734154,0.24252106,0.96734154,0.24252106,3.073081074,0.66837913,16.5427829,0.29896241
satara,0.94158226,0.23829861,0.94158226,0.23829861,426.1233611,0.64323425,296.3255634,0.29834801
ratlam,0.90001011,0.29600468,0.90001011,0.29600468,67.74353537,0.60177922,128.1549022,0.29823089
surat,0.92716992,0.20740157,0.92716992,0.20740157,988.909832,0.62976938,1047.784858,0.29740053
malappuram,0.98445475,0.33964765,0.98445475,0.33964765,490.9338114,0.68729192,526.7576628,0.29716283
