state,district,internet_5,mobile_5,gender_5,internet_use_m_5,mobile_own_m_5,internet_use_f_5,mobile_own_f_5,dd_internet_use_5,dd_mobile_own_5,State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual,men_mobile_own_4,men_mobile_financial_4,men_mobile_own2_4,men_mobile_financial2_4,n_obs_men_4,women_mobile_own_4,n_obs_women_4,digital_gap_ownership_4
andaman & nicobar islands,nicobars,0,0.88709676,0,0,0.88709676,0,0.63999999,0,0.24709678,,,,,,,,,,,,,0.88460857,0.020495407,0.88460857,0.020495407,3.62256003,0.82344192,2.396868021,0.061166644
andaman & nicobar islands,nicobars,0,0.63999999,1,0,0.88709676,0,0.63999999,0,0.24709678,,,,,,,,,,,,,0.88460857,0.020495407,0.88460857,0.020495407,3.62256003,0.82344192,2.396868021,0.061166644
andaman & nicobar islands,north  & middle andaman,0,0.94285715,0,0,0.94285715,0,0.84615386,0,0.096703291,,,,,,,,,,,,,0.93122423,0.19453196,0.93122423,0.19453196,13.85136403,0.7711277,10.74750495,0.16009653
andaman & nicobar islands,north  & middle andaman,0,0.84615386,1,0,0.94285715,0,0.84615386,0,0.096703291,,,,,,,,,,,,,0.93122423,0.19453196,0.93122423,0.19453196,13.85136403,0.7711277,10.74750495,0.16009653
andaman & nicobar islands,south andaman,0,0.96212119,0,0,0.96212119,0,0.80272108,0,0.15940011,,,,,,,,,,,,,0.96279228,0.21427375,0.96279228,0.21427375,28.75642301,0.69513136,27.09136088,0.26766092
andaman & nicobar islands,south andaman,0,0.80272108,1,0,0.96212119,0,0.80272108,0,0.15940011,,,,,,,,,,,,,0.96279228,0.21427375,0.96279228,0.21427375,28.75642301,0.69513136,27.09136088,0.26766092
andhra pradesh,anantapur,0,0.94405586,0,0,0.94405586,0,0.46923077,0,0.47482508,28,12,214,109,12,93,25,0,68,17,109,92,0.94952053,0.27133876,0.94952053,0.27133876,596.7428353,0.82080227,348.4661932,0.12871826
andhra pradesh,anantapur,0,0.46923077,1,0,0.94405586,0,0.46923077,0,0.47482508,28,12,214,109,12,93,25,0,68,17,109,92,0.94952053,0.27133876,0.94952053,0.27133876,596.7428353,0.82080227,348.4661932,0.12871826
andhra pradesh,chittoor,0,0.95918369,0,0,0.95918369,0,0.44537815,0,0.51380551,28,13,233,106,17,110,72,0,38,49,106,57,0.95761991,0.34928176,0.95761991,0.34928176,483.5669627,0.7434299,417.6150351,0.21419001
andhra pradesh,chittoor,0,0.44537815,1,0,0.95918369,0,0.44537815,0,0.51380551,28,13,233,106,17,110,72,0,38,49,106,57,0.95761991,0.34928176,0.95761991,0.34928176,483.5669627,0.7434299,417.6150351,0.21419001
