State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual,State,District
1,1,9,7,1,1,0,0,1,7,7,0,Jammu & Kashmir,kupwara
1,2,62,8,13,41,41,0,0,8,8,0,Jammu & Kashmir,badgam
1,3,25,23,0,2,1,0,1,22,23,1,Jammu & Kashmir,leh (ladakh)
1,4,9,1,0,8,3,0,5,1,1,0,Jammu & Kashmir,kargil
1,5,47,10,4,33,27,0,6,10,10,0,Jammu & Kashmir,punch
1,6,65,8,15,42,23,0,19,7,8,1,Jammu & Kashmir,rajouri
1,7,97,20,29,48,33,2,13,16,20,4,Jammu & Kashmir,kathua
1,8,14,7,0,7,7,0,0,7,7,0,Jammu & Kashmir,baramula
1,9,10,3,2,5,5,0,0,3,3,0,Jammu & Kashmir,bandipore
1,10,195,64,89,42,40,0,2,64,64,0,Jammu & Kashmir,srinagar
1,11,38,5,4,29,27,0,2,5,5,0,Jammu & Kashmir,ganderbal
1,12,23,6,6,11,11,0,0,6,6,0,Jammu & Kashmir,pulwama
1,13,23,7,5,11,6,0,5,7,7,0,Jammu & Kashmir,shupiyan
1,14,65,23,6,36,32,0,4,22,23,1,Jammu & Kashmir,anantnag
1,15,31,8,4,19,17,1,1,8,8,0,Jammu & Kashmir,kulgam
1,16,22,9,6,7,7,0,0,9,9,0,Jammu & Kashmir,doda
1,17,9,2,1,6,4,1,1,1,2,1,Jammu & Kashmir,ramban
1,18,8,3,2,3,3,0,0,3,3,0,Jammu & Kashmir,kishtwar
1,19,67,23,9,35,30,0,5,21,23,2,Jammu & Kashmir,udhampur
1,20,23,10,2,11,10,0,1,10,10,0,Jammu & Kashmir,reasi
1,21,180,66,66,48,31,1,16,60,66,6,Jammu & Kashmir,jammu
1,22,53,15,16,22,17,0,5,13,15,2,Jammu & Kashmir,samba
2,1,162,12,10,140,96,0,44,8,12,4,Himachal Pradesh,chamba
2,2,371,61,15,295,199,0,96,38,61,23,Himachal Pradesh,kangra
2,3,17,4,0,13,6,0,7,4,4,0,Himachal Pradesh,lahul & spiti
2,4,144,9,3,132,37,0,95,8,9,1,Himachal Pradesh,kullu
2,5,238,20,8,210,99,0,111,15,20,5,Himachal Pradesh,mandi
2,6,117,18,7,92,79,0,13,16,18,2,Himachal Pradesh,hamirpur
2,7,129,19,6,104,89,1,14,17,19,2,Himachal Pradesh,una
2,8,71,11,4,56,47,0,9,8,11,3,Himachal Pradesh,bilaspur
2,9,212,63,7,142,74,0,68,59,63,4,Himachal Pradesh,solan
2,10,79,16,4,59,22,0,37,14,16,2,Himachal Pradesh,sirmaur
2,11,168,53,8,107,45,2,60,40,53,13,Himachal Pradesh,shimla
2,12,4,2,0,2,0,0,2,2,2,0,Himachal Pradesh,kinnaur
3,1,16,13,1,2,2,0,0,11,13,2,Punjab,gurdaspur
3,2,22,14,4,4,3,0,1,12,14,2,Punjab,kapurthala
3,3,116,71,13,32,19,1,12,63,71,8,Punjab,jalandhar
3,4,34,9,7,18,12,0,6,7,9,2,Punjab,hoshiarpur
3,5,52,12,8,32,26,0,6,8,12,4,Punjab,shahid bhagat singh nagar
