state_id,smdist,prop_internet_use_m,prop_mobile_own_m,prop_internet_use_f,prop_mobile_own_f,dd_internet_use,dd_mobile_own
jammu & kashmir,kupwara,0,.98039216,0,.73076922,0,.24962294
jammu & kashmir,badgam,0,.95930231,0,.69841272,0,.26088959
ladakh,leh(ladakh),0,1,0,.81355929,0,.18644071
ladakh,kargil,0,.9834711,0,.79768789,0,.18578321
jammu & kashmir,punch,0,.97333336,0,.79661018,0,.17672318
jammu & kashmir,rajouri,0,.98675501,0,.74210525,0,.24464977
jammu & kashmir,kathua,0,.98666668,0,.83941609,0,.14725059
jammu & kashmir,baramula,0,.93599999,0,.67934781,0,.25665218
jammu & kashmir,bandipore,0,.95384622,0,.61452514,0,.33932108
jammu & kashmir,srinagar,0,.98550725,0,.78666669,0,.19884056
jammu & kashmir,ganderbal,0,.97600001,0,.61256546,0,.36343455
jammu & kashmir,pulwama,0,.94701988,0,.75280899,0,.19421089
jammu & kashmir,shupiyan,0,.99324322,0,.80254775,0,.19069546
jammu & kashmir,anantnag,0,.97599995,0,.74172187,0,.23427808
jammu & kashmir,kulgam,0,1,0,.60233921,0,.39766079
jammu & kashmir,doda,0,1,0,.64150941,0,.35849059
jammu & kashmir,ramban,0,.99328864,0,.86734694,0,.12594169
jammu & kashmir,kishtwar,0,.82857144,0,.51785713,0,.3107143
jammu & kashmir,udhampur,0,.98275864,0,.82530123,0,.15745741
jammu & kashmir,reasi,0,.97345132,0,.7062937,0,.26715761
jammu & kashmir,jammu,0,.97600001,0,.87333333,0,.10266668
jammu & kashmir,samba,0,.99082571,0,.89999998,0,.090825737
himachal pradesh,chamba,0,.98795182,0,.70198673,0,.28596509
himachal pradesh,kangra,0,.96103901,0,.75816995,0,.20286906
himachal pradesh,lahul & spiti,0,1,0,.89215684,0,.10784316
himachal pradesh,kullu,0,.97297299,0,.79310346,0,.17986953
himachal pradesh,mandi,0,.97402596,0,.83941609,0,.13460988
himachal pradesh,hamirpur,0,.98507464,0,.84848487,0,.13658977
himachal pradesh,una,0,.9285714,0,.74576271,0,.1828087
himachal pradesh,bilaspur,0,1,0,.76086956,0,.23913044
himachal pradesh,solan,0,.97777784,0,.79259259,0,.18518525
himachal pradesh,sirmaur,0,.91390735,0,.63095236,0,.28295499
himachal pradesh,shimla,0,.97368419,0,.9236111,0,.050073087
himachal pradesh,kinnaur,0,.9834711,0,.86400002,0,.11947107
punjab,kapurthala,0,.98051947,0,.67816091,0,.30235857
punjab,jalandhar,0,.91489363,0,.70289856,0,.21199507
punjab,hoshiarpur,0,.96774191,0,.71764708,0,.25009483
