district,male_mean_age_4,male_mean_education_4,male_pct_no_education_4,male_pct_higher_education_4,male_literacy_rate_4,male_urban_share_4,male_mean_wealth_index_4,male_mean_hh_size_4,male_pct_married_4,male_pct_has_mobile_4,male_pct_has_bank_account_4,male_mean_digital_access_4,n_men_4,female_mean_age_4,female_mean_education_4,female_pct_no_education_4,female_literacy_rate_4,female_urban_share_4,female_mean_wealth_index_4,female_mean_hh_size_4,female_mean_children_u5_4,female_pct_married_4,female_pct_breastfeeding_4,female_pct_has_mobile_4,female_mean_digital_access_4,n_women_4,digital_gender_gap_mobile_4,digital_gender_gap_score_4,mean_education_4,mean_age_4,urban_share_4,mean_hh_size_4,mean_wealth_index_4,n_total_4,education_gender_gap_4,literacy_gender_gap_4,state,digital_gender_gap_5,f_mean_age_5,f_mean_education_5,f_mean_yrs_edu_5,f_pct_literate_5,f_mean_wealth_idx_5,f_mean_wealth_scr_5,f_pct_urban_5,f_pct_rural_5,f_mean_hh_size_5,f_pct_married_5,f_pct_never_married_5,f_pct_divorced_5,f_pct_has_mobile_5,f_pct_mobile_fin_5,f_mean_bf_dur_5,f_mean_bf_months_5,f_pct_ever_breastfed_5,f_pct_early_bf_5,f_n_respondents_5,m_mean_age_5,m_mean_yrs_edu_5,m_pct_no_edu_5,m_literacy_rate_5,m_urban_share_5,m_mean_wealth_idx_5,m_mean_hh_size_5,m_pct_married_5,m_pct_in_union_5,m_pct_live_partner_5,m_pct_owns_mobile_5,m_pct_has_bank_account_5,m_pct_currently_working_5,m_pct_dv_goes_out_5,m_pct_dv_neglect_5,m_pct_dv_argues_5,m_pct_dv_sex_5,m_pct_dv_food_5,m_pct_dv_unfaith_5,m_pct_dv_disresp_5,m_pct_any_dv_5,m_pct_owns_house_5,m_pct_owns_land_5,m_pct_smokes_cigarettes_5,m_pct_smokes_bidis_5,m_pct_uses_tobacco_5,m_pct_drinks_alcohol_5,m_pct_drinks_freq_5,m_pct_father_beat_5,m_pct_wife_emp_5,m_n_respondents_5
kupwara,31.542894,10.250922,10.391953,53.084202,173.52165,20.507076,159393.9996,5.2685308,61.636364,98.37471,82.091064,2.0100293,78.64985743,28.662968,6.6210732,31.110081,130.4828,21.125315,-2168.593943,6.7143035,0.73097372,62.077122,18.623459,48.235424,1.1692158,332.1718073,50.139286,0.84081352,7.3159904,29.214315,20.816196,5.9914169,28761.797,410.82166,3.629849,43.038849,jammu & kashmir,27.393265,29.195347,1.6410278,7.9915166,76.924789,2.8697309,70941.4742,15.39882,84.601181,5.4852061,57.874973,41.386662,0.73836565,70.981445,35.775616,71.296043,24.283838,31.736807,51.190502,364.3983168,31.542894,10.250922,10.391953,91.377312,20.507076,159394.0,5.2685308,61.636364,61.636364,100.0,98.37471,82.091064,72.189919,15.378043,17.353954,8.975688,9.243597,4.7367272,17.317345,31.252277,44.292,33.152267,36.721466,35.770107,0.64439148,35.770107,0.0,0.0,6.6491036,1.3232093,78.64985743
badgam,31.276089,9.2764006,20.100365,45.342873,152.98758,17.038624,329367.3415,5.6863065,51.730747,95.564011,87.010414,2.2400372,72.58085811,29.159628,5.9686136,41.16217,112.17596,19.009218,23553.57022,6.6038446,0.48897111,56.72961,14.647895,52.926109,1.5388643,339.3962226,42.637901,0.70117295,6.5513692,29.532499,18.023922,6.1450758,77430.898,411.97708,3.3077869,40.811623,jammu & kashmir,27.612663,29.86186,1.6539732,8.1208305,75.442055,3.3930981,405294.9336,17.304678,82.69532,5.5366216,56.414211,42.797218,0.78857297,67.951347,32.371693,76.764137,27.718256,24.804131,66.489967,318.8649709,31.276089,9.2764006,20.100365,80.458656,17.038624,329367.34,5.6863065,51.730747,51.730747,98.818306,95.564011,87.010414,68.961372,35.377193,34.801105,36.190815,31.140232,29.679417,39.340099,38.10825,44.94112,45.525661,44.08115,17.80139,1.18356,18.858994,0.0,0.0,19.472525,3.3356264,72.58085811
leh(ladakh),31.813503,10.024511,13.85721,46.466606,168.00163,25.965551,333224.061,4.677712,59.440369,100.0,90.692413,1.6711318,12.20503993,31.815159,7.6842799,28.762167,139.03674,35.475487,19847.34367,4.6455369,0.46209615,66.59227,15.370057,87.2892,1.8536627,51.82928587,12.7108,-0.18253088,8.130332,31.814844,30.72052,4.6616244,79577.422,64.034325,2.3402314,28.96489,ladakh,17.852333,31.020153,1.6883091,8.2208042,76.659424,3.2126508,294080.4549,23.111782,76.888214,4.7101398,58.951992,39.554874,1.4931308,82.147667,27.373302,73.271576,32.787525,27.592701,55.109299,60.69869893,31.813503,10.024511,13.85721,87.349869,25.965551,333224.06,4.677712,59.440369,59.440369,100.0,100.0,90.692413,70.926048,58.602924,37.709045,38.796688,50.524105,49.383911,52.377373,35.878269,86.667709,57.408436,55.450363,27.635395,2.6431212,29.709145,42.459221,38.46973,9.7938318,13.414754,12.20503993
kargil,32.889427,11.076568,5.7306876,55.023567,176.26886,11.799123,-175132.8355,5.1949658,59.434353,98.051361,93.31337,1.7051378,12.112613,29.419535,7.0997138,31.64632,133.13185,20.347477,-30533.50111,6.297133,0.64082128,60.623741,14.880851,57.142658,1.6022016,55.27578587,40.908703,0.10293627,7.8145266,30.043224,16.073299,5.7460494,-56524.262,67.388397,3.9768538,43.137009,ladakh,18.000877,29.567856,1.6904478,8.2694921,79.396713,2.355624,-284205.5925,14.704723,85.29528,5.3404737,57.525604,41.716621,0.75776947,80.050484,26.925404,75.288292,26.657135,25.607849,71.423676,59.54554882,32.889427,11.076568,5.7306876,93.022774,11.799123,-175132.83,5.1949658,59.434353,59.434353,98.99585,98.051361,93.31337,69.380219,27.432337,26.610756,30.132565,9.9614344,9.6618376,38.240776,37.317772,53.405125,56.486248,54.207294,15.857447,0.59834325,16.45579,6.1099534,4.2659335,4.9381585,1.8304491,12.112613
punch,30.606325,10.497737,8.7183132,53.009552,175.8761,8.2928686,193214.6347,5.2170382,56.386246,97.314247,83.627831,2.071599,61.08785996,28.280684,6.7343335,30.55752,129.869,6.4495182,6841.162016,6.3162985,0.77749676,63.41544,14.329359,44.905167,1.1084557,355.5150262,52.409081,0.96314335,7.2861738,28.6217,7.3711934,5.7666683,34169.723,416.60287,3.7634034,46.007095,jammu & kashmir,17.541183,29.526312,1.7042576,8.2451286,81.444725,2.9779043,138425.1597,6.253747,93.746254,5.3310847,61.30048,37.147339,1.5521792,79.773064,22.761375,69.514671,25.556433,33.016891,66.535561,285.3375326,30.606325,10.497737,8.7183132,91.137054,8.2928686,193214.64,5.2170382,56.386246,56.386246,100.0,97.314247,83.627831,78.216644,29.617754,29.547855,33.167889,32.700867,32.035591,36.209629,33.812931,46.584526,61.857952,65.579315,15.662914,7.7726951,22.790236,2.5915215,0.51830429,20.109905,5.0576029,61.08785996
rajouri,30.315643,10.181557,6.1504397,63.610565,174.99046,4.032577,215306.0408,5.3296642,61.755287,98.56321,76.470276,1.808889,91.59135604,28.927383,6.9545903,28.719633,134.80588,6.9249949,14150.92007,5.9026551,0.67047435,68.136818,15.337009,45.911476,1.1166208,416.6742439,52.651733,0.69226825,7.5361018,29.177553,5.478786,5.6161594,50399.824,508.26559,3.2269664,40.184586,jammu & kashmir,24.58532,28.936758,1.7156445,8.2309685,82.235062,3.0443552,169240.0174,5.4197202,94.580284,5.328856,65.081978,33.314266,1.6037581,73.97789,22.379889,75.568054,29.36775,26.40097,52.156742,406.4920388,30.315643,10.181557,6.1504397,92.60096,4.032577,215306.05,5.3296642,61.755287,61.755287,100.0,98.56321,76.470276,72.596703,5.5092711,9.253396,10.238303,2.8990378,5.7504339,27.037397,27.862627,35.0797,20.701653,22.984108,22.083019,2.3566012,23.810675,9.5521135,7.1519518,5.1707377,2.6984379,91.59135604
kathua,30.185637,10.943253,2.414542,73.014168,185.39737,17.023388,591017.3376,4.894258,49.231049,98.74472,95.814323,1.0402389,75.40679973,30.372641,8.0880213,20.228128,152.78302,13.58847,60734.68853,5.854619,0.53638768,67.009605,14.851482,56.55933,1.1835266,346.9179982,42.18539,-0.14328778,8.5978279,30.339251,15.305929,5.3744383,155417.55,422.3248,2.8552313,32.614349,jammu & kashmir,14.85289,30.758522,1.9317582,9.7160645,89.328171,3.9389777,774213.7552,16.682533,83.317474,4.8166699,62.296547,35.936363,1.7670884,83.89183,87.12413,70.94632,23.881939,25.705572,70.883186,374.9571705,30.185637,10.943253,2.414542,97.585457,17.023388,591017.31,4.894258,49.231049,49.231049,100.0,98.74472,95.814323,41.425793,3.6762812,4.9305224,4.2943978,5.1047783,3.6126289,15.143551,15.654428,21.202612,61.497932,61.592571,6.3390689,26.516056,33.958641,33.36924,23.195637,1.88779,4.955328,75.40679973
baramula,31.035151,9.8158817,12.748716,50.64053,167.29941,20.230333,304215.7277,5.9492321,51.089848,94.171333,83.077026,1.553077,135.4725585,29.156897,7.0901232,30.78326,132.68938,21.973068,34366.25074,5.9762826,0.43352428,55.10754,12.723949,55.046188,1.6479021,483.7030281,39.125145,-0.094825149,7.6865058,29.56785,21.1017,5.9627571,93407.984,619.1756,2.7257586,34.610031,jammu & kashmir,25.902351,29.582075,1.4695088,7.1117153,68.525536,3.0488176,200861.1823,21.596214,78.403786,6.2034841,55.661438,43.680443,0.65811998,68.268982,20.173328,77.451599,28.222519,23.123602,57.047535,585.1166965,31.035151,9.8158817,12.748716,87.743279,20.230333,304215.72,5.9492321,51.089848,51.089848,100.0,94.171333,83.077026,70.361069,31.00106,31.689457,34.145538,14.046338,14.418417,39.291561,38.812828,51.638943,63.600723,54.157619,29.951206,0.47683382,30.783133,1.3538697,0.67693484,11.254693,8.8438768,135.4725585
bandipore,30.682674,8.1122389,21.338888,49.647766,138.60454,17.014547,17897.59894,5.6869369,48.669434,95.574997,84.354576,1.4817219,43.6491933,28.669611,6.3082199,34.344131,120.65957,24.934248,17237.07563,6.7537255,0.54583532,55.802376,16.23358,43.278709,1.453072,229.3500743,52.296288,0.028649926,6.5966601,28.991474,20.974398,6.2203312,17342.686,272.99927,1.804019,17.944969,jammu & kashmir,34.071407,29.636784,1.467622,7.0648971,68.190002,2.8795083,80576.8337,18.907959,81.092041,6.0195599,52.999912,45.105976,1.8941097,61.50359,5.0978727,75.799103,32.324947,25.997156,40.000546,207.9021212,30.682674,8.1122389,21.338888,74.97921,17.014547,17897.6,5.6869369,48.669434,48.669434,98.672798,95.574997,84.354576,66.929718,29.991045,28.045918,24.261862,27.277527,11.643388,42.325886,29.955132,55.053211,42.663376,35.658482,30.137114,0.52433729,30.137114,0.0,0.0,9.1956892,2.1546884,43.6491933
srinagar,31.760138,10.70775,10.23725,47.669964,163.35895,100.0,882454.9476,4.5500245,52.686661,98.58831,85.97171,2.4197128,147.3934307,31.069004,8.1749668,25.795538,145.95378,98.74765,89480.32754,5.3715272,0.34227946,60.540104,9.982481,73.83403,1.8460999,796.2791132,24.75428,0.57361293,8.5705652,31.176952,99.373825,4.9607759,213336.06,943.67255,2.5327835,17.405167,jammu & kashmir,20.110931,30.512943,1.8760419,9.5012779,80.014313,4.0730963,860521.72,99.600266,0.39973152,4.6351285,58.357597,40.390167,1.2522382,78.477379,27.184963,71.937897,23.536047,32.32914,75.775566,633.3913486,31.760138,10.70775,10.23725,88.402466,100.0,882454.94,4.5500245,52.686661,52.686661,98.59584,98.58831,85.97171,64.887436,26.912865,28.463474,28.929434,13.033154,9.2680359,32.781662,42.502743,51.905243,46.911591,37.5163,22.875792,0.83616745,23.711958,0.0,0.0,18.698463,12.759882,147.3934307
