district,male_mean_age_4,male_mean_education_4,male_pct_no_education_4,male_pct_higher_education_4,male_literacy_rate_4,male_urban_share_4,male_mean_wealth_index_4,male_mean_hh_size_4,male_pct_married_4,male_pct_has_mobile_4,male_pct_has_bank_account_4,male_mean_digital_access_4,n_men_4,female_mean_age_4,female_mean_education_4,female_pct_no_education_4,female_literacy_rate_4,female_urban_share_4,female_mean_wealth_index_4,female_mean_hh_size_4,female_mean_children_u5_4,female_pct_married_4,female_pct_breastfeeding_4,female_pct_has_mobile_4,female_mean_digital_access_4,n_women_4,digital_gender_gap_mobile_4,digital_gender_gap_score_4,mean_education_4,mean_age_4,urban_share_4,mean_hh_size_4,mean_wealth_index_4,n_total_4,education_gender_gap_4,literacy_gender_gap_4
kupwara,31.542894,10.250922,10.391953,53.084202,173.52165,20.507076,159393.9996,5.2685308,61.636364,98.37471,82.091064,2.0100293,78.64985743,28.662968,6.6210732,31.110081,130.4828,21.125315,-2168.593943,6.7143035,0.73097372,62.077122,18.623459,48.235424,1.1692158,332.1718073,50.139286,0.84081352,7.3159904,29.214315,20.816196,5.9914169,28761.797,410.82166,3.629849,43.038849
badgam,31.276089,9.2764006,20.100365,45.342873,152.98758,17.038624,329367.3415,5.6863065,51.730747,95.564011,87.010414,2.2400372,72.58085811,29.159628,5.9686136,41.16217,112.17596,19.009218,23553.57022,6.6038446,0.48897111,56.72961,14.647895,52.926109,1.5388643,339.3962226,42.637901,0.70117295,6.5513692,29.532499,18.023922,6.1450758,77430.898,411.97708,3.3077869,40.811623
leh(ladakh),31.813503,10.024511,13.85721,46.466606,168.00163,25.965551,333224.061,4.677712,59.440369,100,90.692413,1.6711318,12.20503993,31.815159,7.6842799,28.762167,139.03674,35.475487,19847.34367,4.6455369,0.46209615,66.59227,15.370057,87.2892,1.8536627,51.82928587,12.7108,-0.18253088,8.130332,31.814844,30.72052,4.6616244,79577.422,64.034325,2.3402314,28.96489
kargil,32.889427,11.076568,5.7306876,55.023567,176.26886,11.799123,-175132.8355,5.1949658,59.434353,98.051361,93.31337,1.7051378,12.112613,29.419535,7.0997138,31.64632,133.13185,20.347477,-30533.50111,6.297133,0.64082128,60.623741,14.880851,57.142658,1.6022016,55.27578587,40.908703,0.10293627,7.8145266,30.043224,16.073299,5.7460494,-56524.262,67.388397,3.9768538,43.137009
punch,30.606325,10.497737,8.7183132,53.009552,175.8761,8.2928686,193214.6347,5.2170382,56.386246,97.314247,83.627831,2.071599,61.08785996,28.280684,6.7343335,30.55752,129.869,6.4495182,6841.162016,6.3162985,0.77749676,63.41544,14.329359,44.905167,1.1084557,355.5150262,52.409081,0.96314335,7.2861738,28.6217,7.3711934,5.7666683,34169.723,416.60287,3.7634034,46.007095
rajouri,30.315643,10.181557,6.1504397,63.610565,174.99046,4.032577,215306.0408,5.3296642,61.755287,98.56321,76.470276,1.808889,91.59135604,28.927383,6.9545903,28.719633,134.80588,6.9249949,14150.92007,5.9026551,0.67047435,68.136818,15.337009,45.911476,1.1166208,416.6742439,52.651733,0.69226825,7.5361018,29.177553,5.478786,5.6161594,50399.824,508.26559,3.2269664,40.184586
kathua,30.185637,10.943253,2.414542,73.014168,185.39737,17.023388,591017.3376,4.894258,49.231049,98.74472,95.814323,1.0402389,75.40679973,30.372641,8.0880213,20.228128,152.78302,13.58847,60734.68853,5.854619,0.53638768,67.009605,14.851482,56.55933,1.1835266,346.9179982,42.18539,-0.14328778,8.5978279,30.339251,15.305929,5.3744383,155417.55,422.3248,2.8552313,32.614349
baramula,31.035151,9.8158817,12.748716,50.64053,167.29941,20.230333,304215.7277,5.9492321,51.089848,94.171333,83.077026,1.553077,135.4725585,29.156897,7.0901232,30.78326,132.68938,21.973068,34366.25074,5.9762826,0.43352428,55.10754,12.723949,55.046188,1.6479021,483.7030281,39.125145,-0.094825149,7.6865058,29.56785,21.1017,5.9627571,93407.984,619.1756,2.7257586,34.610031
bandipore,30.682674,8.1122389,21.338888,49.647766,138.60454,17.014547,17897.59894,5.6869369,48.669434,95.574997,84.354576,1.4817219,43.6491933,28.669611,6.3082199,34.344131,120.65957,24.934248,17237.07563,6.7537255,0.54583532,55.802376,16.23358,43.278709,1.453072,229.3500743,52.296288,0.028649926,6.5966601,28.991474,20.974398,6.2203312,17342.686,272.99927,1.804019,17.944969
srinagar,31.760138,10.70775,10.23725,47.669964,163.35895,100,882454.9476,4.5500245,52.686661,98.58831,85.97171,2.4197128,147.3934307,31.069004,8.1749668,25.795538,145.95378,98.74765,89480.32754,5.3715272,0.34227946,60.540104,9.982481,73.83403,1.8460999,796.2791132,24.75428,0.57361293,8.5705652,31.176952,99.373825,4.9607759,213336.06,943.67255,2.5327835,17.405167
ganderbal,32.114914,10.364247,9.6387672,51.322876,167.62755,17.939228,337285.2416,5.8469748,57.807053,97.706345,92.091988,1.7639966,32.08082169,29.313738,6.4448404,36.695675,120.04562,25.550953,35402.63795,6.4449644,0.58193898,60.537548,16.141623,49.903343,1.5744137,162.7199637,47.803001,0.18958294,7.0903091,29.775051,21.74509,6.1459694,85118.258,194.80078,3.9194069,47.581924
