district,m_pct_any_dv_4,f_pct_any_beat_4,gap_any_dv_4,avg_any_dv_4,m_mean_dv_count_4,f_mean_beat_count_4,gap_dv_count_4,m_pct_beat_goout_4,m_pct_beat_neglect_4,m_pct_beat_argue_4,m_pct_beat_refusesex_4,m_pct_beat_burnfood_4,m_pct_dv_unfaithful_4,m_pct_dv_disrespect_4,m_pct_father_beat_mother_4,m_pct_force_sex_right_4,m_pct_any_dv_4,m_mean_dv_count_4,f_pct_beat_goout_4,f_pct_beat_neglect_4,f_pct_beat_argue_4,f_pct_beat_refusesex_4,f_pct_beat_burnfood_4,f_pct_any_beat_4,f_mean_beat_count_4,f_n_dv_4,gap_father_beat_mother_4,female_pct_breastfeeding_4
kupwara,49.12323,75.749924,-26.626694,62.436577,1.1946737,2.3535624,-1.1588887,15.028901,17.919075,8.6705198,8.6206894,4.6511626,16.374269,31.176472,6.395349,8.0459776,47.428574,1.1485714,54.333336,52.64901,56.953644,37.666668,23.841059,71.052628,2.2335527,71.48108878,-17.72303,18.623459
badgam,59.490509,81.554535,-22.064026,70.522522,2.9322793,2.7374651,0.19481421,38.787876,38.181816,39.39394,35.151516,32.727272,43.030304,41.81818,22.64151,26.829269,61.176472,3.0823529,66.759781,72.346375,70.868347,30.704224,26.256985,77.158775,2.6573815,72.96527344,9.2023764,14.647895
leh(ladakh),90.350426,40.968456,49.381969,65.659439,3.6360431,1.2007627,2.4352803,57.037037,37.037037,38.518517,49.629627,48.148148,55.555557,37.593987,10.687022,23.134329,89.13044,3.4855072,36.820084,36.25,36.514523,16.736403,14.522822,46.05809,1.4024897,11.52546502,2.7408853,15.370057
kargil,58.470081,51.819759,6.650322,55.14492,1.9299986,1.508347,0.4216516,28.658537,27.878788,31.515152,10.30303,9.696969,39.39394,38.787876,5.0955415,8.5365858,59.03614,1.9819278,37.096775,39.423077,33.550488,27.213114,18.84984,52.866245,1.5382166,13.24105,-4.432014,14.880851
punch,55.250221,19.632349,35.617874,37.441284,2.7391222,0.46959734,2.2695248,31.707317,31.707317,35.365852,34.756096,33.939396,38.414635,35.975613,20.359282,26.666668,56.287426,2.8443115,9.5823097,17.121588,13.602015,6.2015505,8.6206894,23.471884,0.54034227,78.43507904,13.243841,14.329359
rajouri,36.896904,39.524632,-2.6277275,38.21077,0.97864157,1.0189991,-0.04035753,5.5248618,8.8397789,9.9447508,2.7624309,5.5248618,26.519337,27.777779,5.202312,3.8674035,36.464088,0.95580113,18.09816,23.92638,19.135803,12.820514,14.501511,33.832336,0.85928142,88.99998909,0.36912203,15.337009
kathua,28.807125,25.281731,3.5253944,27.044428,0.6259554,0.82196623,-0.19601083,4.0540538,4.7297297,4.0540538,4.7297297,2.7027028,16.216215,16.216215,2.0134227,8.1081076,28.85906,0.62416106,13.455658,15.902141,17.737003,9.509202,12.269938,22.018349,0.6880734,77.85615827,-9.4529905,14.851482
baramula,54.850304,43.364468,11.485836,49.107384,2.3227434,1.2215368,1.1012067,32.716049,33.950619,37.267078,16.352201,15.52795,43.125,41.875,13.245032,14.814815,56.097561,2.4329269,33.724342,30.90379,33.923306,24.483776,15.94203,47.109829,1.3699422,120.1311324,5.7159023,12.723949
bandipore,62.72316,82.756554,-20.033394,72.739853,2.1355324,2.7984712,-0.66293883,32.758621,30.285713,25.862068,27.42857,13.142857,44.827587,31.609196,9.4674559,9.8837214,63.636364,2.2272727,63.687153,61.281334,67.787117,41.076488,38.997215,81.440445,2.7008309,48.15503396,-9.0634594,16.23358
srinagar,57.633041,50.731514,6.9015274,54.182278,2.1430986,1.5750656,0.56803298,27.941175,29.629629,30.882353,13.868613,9.5588236,32.846718,42.335766,19.402985,13.768116,57.971012,2.173913,37.883957,37.627117,35.958904,21.254354,17.006802,49.830509,1.4847457,166.6442573,11.709499,9.982481
