state,district,internet_5,mobile_5,gender_5,internet_use_m_5,mobile_own_m_5,internet_use_f_5,mobile_own_f_5,dd_internet_use_5,dd_mobile_own_5,State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual,men_mobile_own_4,men_mobile_financial_4,men_mobile_own2_4,men_mobile_financial2_4,n_obs_men_4,women_mobile_own_4,n_obs_women_4,digital_gap_ownership_4,male_mean_age,male_mean_education,male_pct_no_education,male_pct_primary_education,male_pct_secondary_education,male_pct_higher_education,male_literacy_rate,male_urban_share,male_pct_sc,male_pct_st,male_pct_obc,male_pct_general,male_pct_hindu,male_pct_muslim,male_pct_christian,male_pct_other_religion,male_mean_wealth_index,male_pct_wealth_q1,male_pct_wealth_q2,male_pct_wealth_q3,male_pct_wealth_q4,male_pct_wealth_q5,male_mean_hh_size,male_pct_married,male_pct_in_union,male_pct_has_mobile,male_pct_uses_mobile_finance,male_pct_has_bank_account,male_pct_uses_internet,male_mean_digital_access,male_pct_reads_newspaper,male_pct_listens_radio,male_pct_watches_tv,male_pct_heard_fp_radio,male_pct_heard_fp_tv,male_pct_heard_fp_newspaper,male_pct_currently_working,male_pct_worked_last_12m,n_men,female_mean_age,mean_husband_age,female_mean_education,mean_husband_education,female_pct_no_education,female_pct_primary_education,female_pct_secondary_education,female_pct_higher_education,female_literacy_rate,female_urban_share,female_pct_sc,female_pct_st,female_pct_obc,female_pct_general,female_pct_hindu,female_pct_muslim,female_pct_christian,female_pct_other_religion,female_mean_wealth_index,female_pct_wealth_q1,female_pct_wealth_q2,female_pct_wealth_q3,female_pct_wealth_q4,female_pct_wealth_q5,female_mean_hh_size,female_mean_children_u5,female_pct_married,female_pct_breastfeeding,female_pct_has_tv,female_pct_has_radio,female_pct_has_phone,female_pct_has_mobile,female_mean_digital_access,female_pct_reads_newspaper,female_pct_listens_radio,female_pct_watches_tv,female_pct_heard_fp_radio,female_pct_heard_fp_tv,female_pct_heard_fp_newspaper,female_pct_has_electricity,female_pct_has_refrigerator,female_pct_has_bicycle,female_pct_has_motorcycle,female_pct_has_car,n_women,dd_mobile_own_4,digital_gender_gap_internet_4,digital_gender_gap_bank,digital_gender_gap_score,digital_gender_gap_tv,digital_gender_gap_newspaper,digital_gender_gap_radio,male_only_mobile_finance,mean_education,mean_age,urban_share,mean_hh_size,mean_wealth_index,pct_sc,pct_st,pct_obc,pct_general,pct_hindu,pct_muslim,pct_christian,n_total,education_gender_gap,literacy_gender_gap,dd_gap,treatment_status
Jammu & Kashmir,baramula,0,0.93599999,0,0,0.93599999,0,0.67934781,0,25.902351,1,8,14,7,0,7,7,0,0,7,7,0,0.94171333,0.30420232,0.94171333,0.30420232,135.4725585,0.79159576,161.5307655,0.15011758,31.035151,9.8158817,12.748716,2.4998841,0,50.64053,167.29941,20.230333,3.1503301,1.5629603,6.2516184,89.035095,0,99.168076,0,0.83192343,304215.7277,6.1432695,29.696432,22.606337,22.257433,19.296528,5.9492321,51.089848,51.089848,94.171333,30.420231,83.077026,0,1.553077,61.21785,48.807873,68.912018,30.872805,38.509754,32.655769,70.361069,5.0692849,135.4725585,29.156897,38.062649,7.0901232,7.9295697,30.78326,1.8006496,2.4429321,45.385807,132.68938,21.973068,1.660713,4.3751044,6.3528819,87.611298,2.1085234,96.975807,0,0.91566944,34366.25074,1.8142935,18.798374,32.9739,29.022345,17.391087,5.9762826,0.43352428,55.10754,12.723949,79.527863,60.042561,6.8373365,55.046188,1.6479021,34.091297,49.029003,27.470463,50.425957,56.874519,24.769674,99.111626,38.138489,14.199363,9.7508898,13.696779,483.7030281,39.125145,0,83.077026,-0.094825149,41.441555,27.126553,-0.22113037,30.420231,7.6865058,29.56785,21.1017,5.9627571,93407.984,1.660713,4.3751044,6.3528819,87.611298,2.1085234,96.975807,0,619.1756,2.7257586,34.610031,-13.222794,treated
Jammu & Kashmir,samba,0,0.89999998,1,0,0.99082571,0,0.89999998,0,10.219368,1,22,53,15,16,22,17,0,5,13,15,2,0.99129134,0.43138465,0.99129134,0.43138465,38.7024992,0.61292356,48.71039392,0.37836778,31.600874,11.208659,3.3465433,0.62605262,0,68.696129,189.66389,5.8509502,26.41074,2.4188643,4.9679103,66.202484,91.174477,4.2563944,0,4.569129,947615.0382,0,9.8511057,13.028418,34.920647,42.199833,5.0192618,59.445065,59.445065,99.129135,43.138466,96.003273,0,1.7101963,67.589584,51.146061,89.108528,42.721157,65.794243,40.087795,69.449081,2.4395607,38.7024992,30.902145,39.690205,8.5335836,8.7574387,14.939831,2.4863124,7.6362076,49.38345,159.02672,4.6311302,36.496819,4.1463699,12.196201,46.793602,82.964447,4.4659071,0.44481447,12.124829,79047.61072,5.1569009,10.008207,16.789442,22.418846,45.626606,5.4891615,0.59839439,73.39679,14.66953,82.105156,14.505148,4.8097324,56.42141,1.1762377,33.157516,8.1424971,14.046809,8.6035337,50.816883,27.221716,97.863113,75.414413,33.965385,44.224113,14.510441,169.6095844,42.707726,0,96.003273,0.53395855,75.061722,34.432068,43.003563,43.138466,9.0305882,31.031963,5.2410402,5.2542114,240419.58,36.496819,4.1463699,12.196201,46.793602,82.964447,4.4659071,0.44481447,208.31209,2.6750755,30.637177,-32.488358,treated
Jammu & Kashmir,bandipore,0,0.61452514,1,0,0.95384622,0,0.61452514,0,34.071407,1,9,10,3,2,5,5,0,0,3,3,0,0.95574999,0.23667756,0.95574999,0.23667756,43.6491933,0.66966885,66.19174044,0.28608114,30.682674,8.1122389,21.338888,5.8214798,0,49.647766,138.60454,17.014547,2.6661148,2.4564066,13.602948,81.274529,0,100,0,0,17897.59894,8.8404245,36.870346,30.020565,16.708948,7.5597181,5.6869369,48.669434,48.669434,95.574997,23.667755,84.354576,0,1.4817219,40.971951,51.417496,73.914566,61.164486,67.499756,35.18668,66.929718,6.22365,43.6491933,28.669611,37.80349,6.3082199,8.2573977,34.344131,4.9950109,2.5619528,42.863586,120.65957,24.934248,3.725883,38.746677,14.673668,40.946503,0.077010222,99.845879,0,0.077109203,17237.07563,4.9882703,23.039593,33.077698,27.756279,11.138162,6.7537255,0.54583532,55.802376,16.23358,72.832901,57.110661,2.8731487,43.278709,1.453072,27.226168,36.496937,28.085474,36.194469,41.165329,11.92589,92.587265,26.41913,22.157309,10.118653,11.626153,229.3500743,52.296288,0,84.354576,0.028649926,45.829094,13.745783,14.920559,23.667755,6.5966601,28.991474,20.974398,6.2203312,17342.686,3.725883,38.746677,14.673668,40.946503,0.077010222,99.845879,0,272.99927,1.804019,17.944969,-18.224881,treated
Jammu & Kashmir,ganderbal,0,0.97600001,0,0,0.97600001,0,0.61256546,0,36.121445,1,11,38,5,4,29,27,0,2,5,5,0,0.97706342,0.33623946,0.97706342,0.33623946,32.08082169,0.66023922,48.34007164,0.3168242,32.114914,10.364247,9.6387672,3.157279,0,51.322876,167.62755,17.939228,1.2964022,3.2655735,4.4396677,90.99836,0,99.317566,0.68243891,0,337285.2416,6.9502831,18.208874,31.188934,31.137747,12.514162,5.8469748,57.807053,57.807053,97.706345,33.623947,92.091988,0,1.7639966,53.971909,57.209938,73.461235,49.00597,55.684425,35.096046,71.922478,7.3044734,32.08082169,29.313738,37.68602,6.4448404,7.9083562,36.695675,2.8582239,2.270462,38.261353,120.04562,25.550953,4.5579019,56.40168,38.38496,0.65545833,0,99.74292,0.25707787,0,35402.63795,2.2003772,17.795935,35.991131,26.697868,17.314688,6.4449644,0.58193898,60.537548,16.141623,75.228012,63.272495,4.1158147,49.903343,1.5744137,23.667755,39.109295,31.173111,42.348377,55.508232,17.902128,97.774162,36.844521,27.092016,18.925898,14.3475,162.7199637,47.803001,0,92.091988,0.18958294,42.288124,30.304153,18.100643,33.623947,7.0903091,29.775051,21.74509,6.1459694,85118.258,4.5579019,56.40168,38.38496,0.65545833,0,99.74292,0.25707787,194.80078,3.9194069,47.581924,-11.681556,treated
Jammu & Kashmir,srinagar,0,0.98550725,0,0,0.98550725,0,0.78666669,0,20.110931,1,10,195,64,89,42,40,0,2,64,64,0,0.98588312,0.58233327,0.98588312,0.58233327,147.3934307,0.68498522,225.7263477,0.3008979,31.760138,10.70775,10.23725,2.0269263,0,47.669964,163.35895,100,5.1490483,0.73557848,1.4876007,92.627769,0,100,0,0,882454.9476,0,3.1013391,11.261411,54.569988,31.067259,4.5500245,52.686661,52.686661,98.58831,58.233326,85.97171,0,2.4197128,67.465446,70.573914,82.594421,36.829613,49.903412,33.400589,64.887436,3.6197503,147.3934307,31.069004,40.438713,8.1749668,7.9364452,25.795538,1.0193282,1.955601,39.581955,145.95378,98.74765,14.911926,5.412756,0,79.675316,0.28948429,99.426666,0,0.28384683,89480.32754,0.037146777,1.3223057,14.358128,46.20813,38.074291,5.3715272,0.34227946,60.540104,9.982481,92.71701,61.104946,9.8578186,73.83403,1.8460999,30.481327,42.752975,21.049686,43.630577,74.312317,35.101639,98.48053,80.232704,21.109583,35.583271,24.915634,796.2791132,24.75428,0,85.97171,0.57361293,61.544735,36.984119,27.820938,58.233326,8.5705652,31.176952,99.373825,4.9607759,213336.06,14.911926,5.412756,0,79.675316,0.28948429,99.426666,0,943.67255,2.5327835,17.405167,-4.643349,treated
Jammu & Kashmir,doda,0,1,0,0,1,0,0.64150941,0,35.785858,1,16,22,9,6,7,7,0,0,9,9,0,1,0.28451034,1,0.28451034,50.18411684,0.71955156,60.31596376,0.28044844,29.411722,9.9997301,7.6515446,3.6622822,0,67.359207,166.6161,8.0323229,4.9673076,3.6136377,3.2862458,88.132813,30.104641,69.895355,0,0,-134903.8387,21.434589,30.91777,22.518206,18.054005,7.0754299,5.1184721,53.98925,53.98925,100,28.451035,84.994171,0,1.4666842,44.350311,45.704357,73.563957,44.828762,56.745815,45.073364,65.26577,3.4490194,50.18411684,29.351007,37.864933,5.5781641,8.6430998,45.0961,1.1070971,2.4172912,35.663006,110.12967,6.3417816,20.304575,6.5889039,0.98684019,72.119682,41.693161,58.18259,0,0.12424837,-29232.34496,22.546663,35.192715,22.528385,12.653901,7.0783362,5.8242111,0.67004067,68.631523,15.299357,41.264091,23.854336,1.0852449,45.110489,0.78971016,21.961451,17.427174,12.819357,19.944296,32.068012,16.190866,94.049835,20.229092,3.7769775,4.6206398,4.3306093,213.112642,54.889511,0,84.994171,0.67697406,60.744598,22.388861,28.277184,28.451035,6.4209104,29.362579,7.1870522,5.4713416,-49373.234,20.304575,6.5889039,0.98684019,72.119682,41.693161,58.18259,0,263.29675,4.421566,56.486435,-19.103653,treated
Jammu & Kashmir,kishtwar,0,0.51785713,1,0,0.82857144,0,0.51785713,0,31.115021,1,18,8,3,2,3,3,0,0,3,3,0,0.82827276,0.4138433,0.82827276,0.4138433,29.79463901,0.6902073,35.17615688,0.13806546,32.307045,10.014453,15.194063,2.0379472,0,47.483154,157.66371,5.4484167,2.4905295,4.4656329,3.0807877,89.963051,33.033371,66.115082,0,0.85154909,-4496.801003,20.012274,23.715521,25.187582,16.964159,14.120462,4.9492774,60.113991,60.113991,82.827278,41.384331,79.430672,0,1.3414619,33.036743,29.275858,46.92791,52.290733,53.574093,30.131929,57.187767,11.067696,29.79463901,29.334351,36.753326,5.509366,8.7496147,48.018272,0.32800925,2.4052572,29.975054,101.39297,7.1389093,7.4610562,10.678625,0.8245154,81.035805,36.518291,62.473358,0,1.0083534,-9873.377795,20.070175,26.311598,25.156197,17.005999,11.456032,5.7327828,0.67924041,69.144974,19.045929,51.530045,30.281225,1.5223833,54.925293,0.99547899,26.98851,36.269497,24.537983,42.744656,57.832996,36.468044,88.646713,28.859707,7.3516884,9.0781851,6.727725,119.1582277,27.901985,0,79.430672,0.34598291,22.389927,6.048233,-6.993639,41.384331,6.4105062,29.92897,6.293663,5.3410301,-8797.916,7.4610562,10.678625,0.8245154,81.035805,36.518291,62.473358,0,148.95287,4.5050869,56.270737,3.213036,treated
Jammu & Kashmir,pulwama,0,0.94701988,0,0,0.94701988,0,0.75280899,0,21.599915,1,12,23,6,6,11,11,0,0,6,6,0,0.95691764,0.48206112,0.95691764,0.48206112,51.12064646,0.78252685,69.8553321,0.17439079,32.564201,11.786759,3.2780805,0.78988045,0,54.424358,179.89941,4.8065825,2.3346634,0,10.872943,85.866753,0,96.452621,0,3.5473828,547876.6713,0,14.645309,19.965601,51.678127,13.710965,4.9524355,57.46104,57.46104,95.691765,48.206112,92.360184,0,2.3418124,66.886261,68.680695,80.845322,62.787373,71.020111,44.529022,70.874557,2.7644937,51.12064646,30.369041,39.005638,7.4223795,8.6751251,28.496405,2.1821256,3.366483,42.007275,134.35242,5.6032205,22.283602,28.941378,48.775021,0,0.45893887,95.995193,0.22048098,3.325387,49264.1501,1.6212262,10.714078,33.838562,33.376389,20.449749,5.9424129,0.42975563,60.204041,12.869522,71.665497,60.675018,2.2797801,51.706768,1.4920691,28.011551,44.765739,27.694256,36.353783,39.367382,19.507877,97.484985,43.541084,13.05363,18.541986,17.517439,247.6236225,43.984997,0,92.360184,0.84974325,53.151066,38.87471,23.914955,48.206112,8.1692057,30.744675,5.2049017,5.4474239,134585.94,22.283602,28.941378,48.775021,0,0.45893887,95.995193,0.22048098,298.74426,4.3643799,45.546997,-22.385082,treated
Jammu & Kashmir,jammu,0,0.97600001,0,0,0.97600001,0,0.87333333,0,10.109016,1,21,180,66,66,48,31,1,16,60,66,6,0.97664279,0.59643912,0.97664279,0.59643912,173.9677838,0.56778455,269.4374574,0.40885824,33.466682,11.846392,4.3654561,4.1789122,0,46.12418,183.84441,52.725327,37.19315,0.79172647,2.1801734,58.34568,94.663033,5.3369613,0,0,1195125.663,0.7549662,1.4243304,8.1448278,25.45319,64.222687,4.7068934,66.753372,66.753372,97.664276,59.643913,89.643585,0,2.4555867,73.989784,39.912285,94.878174,23.324486,51.135262,31.567986,81.360832,4.1238894,173.9677838,31.041904,39.994263,9.3273401,9.1885958,13.911798,1.8841369,4.3445864,46.392044,166.87199,47.798927,25.820959,6.6046381,8.4074917,59.166916,82.237556,11.09184,0,6.6706033,113321.8339,2.5894928,5.8143291,12.353115,18.84173,60.401333,5.2252631,0.46178144,69.167152,11.210781,92.046165,13.259212,11.135913,59.013695,1.35062,38.525192,13.336647,11.536949,25.437168,80.675697,55.151993,99.405579,82.836113,35.224773,55.568199,25.009546,853.9147273,38.650581,0,89.643585,1.1049666,83.341225,35.464592,26.575638,59.643913,9.753686,31.452295,50.262127,4.9660783,296415.72,25.820959,6.6046381,8.4074917,59.166916,82.237556,11.09184,0,1027.8826,2.5190516,16.972412,-28.541565,treated
Jammu & Kashmir,shupiyan,0,0.99324322,0,0,0.99324322,0,0.80254775,0,18.93486,1,13,23,7,5,11,6,0,5,7,7,0,0.99340874,0.47702318,0.99340874,0.47702318,26.02178192,0.68600303,44.236587,0.30740571,30.927366,11.141948,8.0002785,1.2569739,0,55.533779,181.28055,5.6730933,3.2488842,0,24.170729,72.580383,0,100,0,0,543117.3383,0,9.9479084,35.603722,43.28336,11.165011,5.1017284,62.957489,62.957489,99.340874,47.70232,90.06427,0,2.3679304,69.755104,77.563492,88.064262,62.731258,63.817631,47.686867,72.328773,3.600641,26.02178192,29.095163,38.094273,6.968513,7.7005095,32.282417,2.2187169,2.7679958,43.070683,128.43135,6.6325226,11.146939,26.200151,59.588402,1.3559833,0.098168582,99.901833,0,0,26408.74393,3.105669,18.785473,37.426918,27.141428,13.540511,6.4297605,0.50165206,56.489891,14.184722,63.657845,68.699623,2.5375431,52.50753,1.5031718,29.543642,41.94405,29.410982,36.147316,34.811222,15.658866,96.525429,27.07983,7.9204917,24.812206,20.294884,150.6113214,46.833344,0,90.06427,0.86475861,58.653282,40.211464,35.619442,47.70232,7.5833478,29.365086,6.1528082,5.7657442,102530.82,11.146939,26.200151,59.588402,1.3559833,0.098168582,99.901833,0,176.6331,4.1734347,52.849197,-27.898484,treated
