district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents,m_mean_age,m_mean_yrs_edu,m_literacy_rate,m_urban_share,m_pct_sc,m_pct_st,m_pct_obc,m_pct_general,m_mean_wealth_idx,m_mean_hh_size,m_pct_married,m_pct_owns_mobile,m_pct_uses_internet,m_pct_currently_working,m_n_respondents,total_respondents,mean_age,urban_share,pct_sc,pct_st,pct_obc,pct_general,mean_hh_size,mean_wealth_idx,dd_mobile_own_5,dd_mobile_own_4,dd_gap,treatment_status,f_mean_bf_dur_c1,total_weight_district,m_justify_beating_goes_out,m_justify_beating_neglect_kids,m_justify_beating_argues,m_justify_beating_refuses_sex,m_justify_beating_burns_food,m_num_control_issues,m_ever_humiliated_hp,m_ever_threatened_harm_hp,m_ever_insulted_hp,m_experienced_emotional_viol,m_pushed_shook_thrown,m_slapped,m_punched_hit_harmful,m_kicked_dragged,m_strangled_burnt,m_threatened_weapon,m_forced_unwanted_sex,m_forced_other_unwanted_sex,m_arm_twisted_hair_pulled,m_forced_unwanted_sexual_acts,m_experienced_less_severe_phys,m_experienced_severe_phys_sex,m_experienced_any_physical_viol,m_experienced_any_sexual_viol,m_injury_broken_bones_teeth,m_injury_deep_wounds_bleeding,m_injury_head_internal,m_injury_wounds_brokenbones,m_injury_severe_burns,m_experienced_any_listed_injury,m_respondent_physically_hurt,m_freq_hurt_hp_last12m,m_hp_drinks_alcohol,m_freq_hp_drunk,m_freq_hit_last12m_non_hp,m_hp_hurt_during_pregnancy,m_not_hurt_during_pregnancy,m_father_beat_mother,m_hp_jealous_other_men,m_hp_accuses_unfaithful,m_hp_limits_female_friends,m_hp_limits_family_contact,m_hp_insists_know_where_is,m_hp_no_trust_money
adilabad,32.65306091,telangana,50.138683,30.608635,1.3540546,6.6189284,65.587166,16.131357,29.970905,7.6727839,44.743126,45585.53879,2.8541787,26.268356,73.731644,4.6940379,72.894798,7.9924488,40.360081,31.518677,425.6452859,33.313477,7.6298842,72.538597,24.6786,5.6322956,31.023142,58.373188,4.9713755,-87495.391,4.9544497,68.523384,90.498764,0.0,82.563492,95.73362327,521.3789091699999,31.10528785741055,25.97645101627616,14.203559056741671,30.164112778022933,47.24582643092458,7.176761507234417,4.741853729750286,-16063.242652985464,,,,,70.459023,68712168,0.43694583,0.80292982,0.74698818,0.74517655,0.20997903,0.63004833,0.30942893,0.12696981,0.33399433,0.22251934,0.26290873,0.59970021,0.094611712,0.18679886,0.0,0.0,0.090096369,0.034200203,0.11236185,0.04595454,0.32973439,0.098287277,0.037691213,2.2506628,0.13640243,0.044602711,0,0.0,0.038240038,0.13640243,0.044890083,0.038240038,0.46411967,0.80262458,0.063332245,0.039927628,0.7882629,0.76963824,0.16097258,0.036085892,0.11503124,0.13735007,0.12116254,0.11264638
agar malwa,,madhya pradesh,70.38485,30.799053,1.1530837,5.2600293,64.495285,19.424776,2.9788249,22.774286,54.695629,-43777.08605,2.7183945,20.300821,79.699181,5.2127409,76.752434,3.3045502,22.350174,22.801432,280.008604,32.0219,6.5192738,68.326218,20.185007,23.761957,2.7863727,35.270084,38.181583,-192475.52,4.5938482,68.137161,92.735023,0.0,76.983971,19.52222714,299.53083114,30.87875329930011,20.2932727045361,19.707456191241207,2.9662816317571505,53.42954931008975,23.77847228193521,5.172403937628869,-12542.246927244132,,,,,77.916145,29230252,0.18255885,0.10934049,0.25573289,0.065529168,0.24997325,1.3124419,0.009601251,0.032848056,0.10028706,0.054565899,0.10028706,0.3090173,0.13086559,0.088416278,0.088416278,0.088416278,0.0,0.0,0.075034045,0.0,0.18318094,0.044208139,0.0,2.2779341,0.011623403,0.0,0,0.0,0.0,0.011623403,0.0,0.0,0.039225459,0.058564737,0.0,0.0,0.78904164,0.40392491,0.31461,0.099930681,0.29096484,0.066189304,0.10589081,0.4348563
agra,5.569007397,uttar pradesh,47.109463,29.445339,1.453236,7.0034637,71.480148,32.112534,0.7277863,26.152796,40.783588,646733.3734,3.7223408,60.984074,39.015923,6.4110012,68.531441,3.6582935,39.867786,37.12693,3120.939262,30.471294,8.7931261,75.65699,54.694824,25.397882,0.0,35.849163,38.752956,500557.25,6.4731264,63.489891,86.977249,0.0,66.620262,153.2311005,3274.1703625,29.49335367129323,60.68973723919572,31.798288435010853,0.6937259172676022,40.55265701921029,26.74248320912917,6.413908657985026,23429.6163568376,47.109463,52.236599,-5.127136,treated,64.289711,161459664,0.30855688,0.26760092,0.29738066,0.10827596,0.12823685,1.477846,0.26803181,0.29476449,0.26698205,0.18748561,0.29423067,0.63792902,0.31123638,0.19467069,0.074289285,0.075720206,0.19019604,0.12325325,0.3515231,0.10771996,0.3229335,0.085754529,0.12647781,4.7769198,0.09559954,0.018740414,0,0.01088143,0.013353026,0.10895256,0.025652735,0.046241637,0.27441463,0.43168849,0.085861102,0.026587395,0.71944952,0.24362125,0.23858833,0.098598324,0.3212184,0.28428715,0.21629529,0.4073146
ahmadabad,14.34302902,gujarat,26.449638,31.456207,1.7723805,8.4026508,84.075867,21.410913,7.3571963,27.426104,43.560951,1033666.587,4.2530665,82.109169,17.890827,5.6645598,71.854576,4.6656866,71.727058,50.406158,3747.728083,32.536858,10.14802,94.327286,83.697105,21.765234,4.5932441,41.576233,32.065289,1144382.0,5.270638,62.246628,98.176697,0.0,83.20517,831.4998403,4579.2279233,31.652432466163848,82.39750767903546,21.47525088836233,6.8553156661047066,43.20056433052598,28.26849089386797,5.593031166947238,207801.27251084964,,,,,53.783146,345961632,0.038506106,0.055073392,0.089391783,0.02954893,0.033164881,0.34972239,0.0,0.0,0.0,0.0,0.0,0.012167199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006083599,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02912296,0.027513204,0.0,0.0,0.80254215,0.091683865,0.10977945,0.012207018,0.006192213,0.072242789,0.13395493,0.015346006
ahmadnagar,,maharashtra,51.732426,30.833387,1.8261687,8.6400986,88.874695,11.696818,10.957435,50.754566,26.479193,409558.0277,3.3438842,22.383564,77.616432,5.7037516,76.23156,4.9239135,44.230579,48.692009,2684.663984,34.47768,10.273335,90.817871,21.987316,6.9514222,18.774988,18.7561,53.778488,427473.66,5.4058876,69.195099,95.963005,0.0,79.40316,593.1125557,3277.7765397,31.49282058516668,22.311863058485383,10.838140235772777,12.372018569987532,25.08170193504838,51.301743662642494,5.649853209993465,77353.95293472857,51.732426,48.758026,2.9744,treated,55.465195,150743296,0.31091392,0.49989891,0.53328222,0.21150059,0.37135831,0.73398614,0.16452202,0.02027929,0.11903667,0.12332658,0.15653229,0.29294804,0.04340167,0.11824887,0.0,0.0,0.17965819,0.056015156,0.066418745,0.17965819,0.14419581,0.05189082,0.069438979,3.2745693,0.0,0.0,0,0.005201797,0.0,0.005201797,0.0,0.0,0.091518976,0.13004892,0.035317764,0.010024207,0.76744884,0.1909145,0.19047807,0.070272513,0.16885591,0.10667885,0.10648179,0.20962752
aizawl,30.34705544,mizoram,3.9138107,31.339737,2.1358807,10.475488,99.083,0.77224058,98.299858,0.087032929,0.73212808,937246.3835,4.1948848,84.308899,15.691103,4.9260492,49.822937,9.1969824,89.576729,40.623848,238.4269913,30.141907,10.696735,99.125809,84.909012,0.87418872,97.608315,1.5174954,0.0,842287.25,4.9399819,42.179523,93.49054,0.0,73.155289,45.0957548,283.5227461,31.14921596168785,84.40435006723376,0.7884559573797553,98.18986451979204,0.8570448021248678,0.0731898928425923,4.928265267781313,133973.65817531495,3.9138107,7.5489197,-3.635109,treated,63.273609,326615040,0.5931344,0.50545502,0.57854587,0.3059094,0.27589709,0.72583854,0.078861289,0.069162339,0.067085959,0.061843153,0.082359061,0.088957429,0.044178624,0.073206104,0.0,0.029073689,0.019262658,0.029073689,0.11552113,0.029073689,0.052718081,0.045274258,0.020957731,3.6047642,0.024139049,0.006514277,0,0.0,0.0,0.024139049,0.050805412,0.029073689,0.25275943,0.46764642,0.049311534,0.007875663,0.64036793,0.24125895,0.20186003,0.024820987,0.039357834,0.017624769,0.32370922,0.28409269
ajmer,18.18181801,rajasthan,37.285614,29.882622,1.5469142,7.5122757,74.561104,19.824242,4.033917,17.955523,57.822365,684030.8911,3.765135,40.577911,59.422089,6.0866747,71.618927,3.4404862,56.459435,42.563461,1577.283944,31.545586,9.4668779,90.663681,45.795406,17.071468,0.0,60.343384,22.585146,689864.63,6.1011224,64.588463,93.745049,0.0,79.408226,106.4366314,1683.7205754,29.98774650158628,40.90773567534105,19.6502250070106,3.778912373282059,57.98173156828682,18.248185264731724,6.087588013373932,43613.41608523404,37.285614,42.034859,-4.749245,treated,58.343246,140440960,0.14396012,0.10439119,0.1199064,0.11491752,0.099295311,0.82345533,0.17622086,0.0,0.17079711,0.088254623,0.16451529,0.27828553,0.060925417,0.080538243,0.041326862,0.041326862,0.0,0.0,0.060925417,0.04721614,0.13253951,0.040063947,0.015738713,0.34851414,0.040474296,0.032664273,0,0.036402144,0.0,0.088877283,0.006038744,0.012077488,0.16473608,0.18261513,0.0,0.066393405,0.71793085,0.10413512,0.30573541,0.077343278,0.11367773,0.045639101,0.12039891,0.16066088
akola,,maharashtra,59.235783,31.213789,1.9187055,9.2324762,94.955788,19.016052,6.2401104,31.445049,43.298786,486739.1376,3.4955359,41.884754,58.115242,5.7249122,74.170532,4.4875727,36.305775,46.385227,1175.62543,32.966949,9.063652,89.504486,34.011383,15.795233,0.52411956,42.903305,40.777344,311653.5,5.9771538,65.499672,95.541557,0.0,84.197304,299.7400842,1475.3655142,31.56996672067894,40.28517419163129,18.361699875756106,5.07883100233355,43.218438786310536,33.34102858075902,5.776158428609146,63319.32993755496,59.235783,65.259262,-6.023479,treated,58.026402,75465320,0.13532077,0.16652465,0.21207359,0.10869893,0.16690311,1.2836016,0.34204352,0.22204266,0.21680631,0.18253399,0.36103126,0.66253042,0.18728143,0.21956195,0.04296115,0.04296115,0.13883546,0.10818698,0.29810587,0.13195282,0.36021808,0.10298088,0.089486748,3.5168741,0.076065771,0.09202452,0,0.088228434,0.01325748,0.11429392,0.062199868,0.11715132,0.10754029,0.18539035,0.024726352,0.012324323,0.79144168,0.23828436,0.3079311,0.14903477,0.18085009,0.17143539,0.25861245,0.21573785
alappuzha,22.1374054,kerala,24.17186,33.402626,2.3565857,11.946559,100.0,8.8746719,0.0,31.614292,58.647038,905582.9106,4.1097608,53.987495,46.012505,4.3907514,74.173584,3.6760502,75.82814,44.910583,1072.437886,36.207813,11.276764,97.457664,54.131668,5.6153083,0.0,64.267303,29.311943,854492.0,4.1400566,58.293736,100.0,0.0,68.86618,257.3652574,1329.8031434,33.94553167584631,54.01539771736031,8.243866539043,0.0,59.73476361981088,31.168703759401748,4.342232841406524,165378.58410165732,24.17186,22.718651,1.453209,treated,62.949856,81406416,0.19076011,0.38621747,0.21045487,0.17522183,0.14788701,0.37653977,0.1225129,0.017816778,0.034978323,0.070164837,0.16736236,0.26134771,0.18185389,0.2165046,0.017816778,0.17294551,0.15802702,0.0,0.15132238,0.0,0.11507318,0.077624075,0.052675676,0.35950714,0.069043308,0.008908389,0,0.008908389,0.0,0.069043308,0.0,0.0,0.34093839,0.65505409,0.017816778,0.008908389,0.70788008,0.10297311,0.11703099,0.017816778,0.16827129,0.038507052,0.037177034,0.059814967
aligarh,7.014028072,uttar pradesh,47.432156,29.21187,1.4431889,7.0264025,72.836426,23.222879,1.3749776,28.299145,46.594559,436101.4508,3.4192889,34.734016,65.265984,6.1125064,70.816963,3.2342355,42.557949,35.187561,2041.512156,30.181339,9.5186338,82.018028,35.748196,25.731199,0.0,44.060196,29.593527,394396.5,6.329123,61.385391,89.990105,0.0,74.946686,134.6263062,2176.1384622,29.271845977040297,34.79675801278713,23.3780556407484,1.2899149265483285,46.43777121503754,28.37922164516696,6.125907336211624,24402.45665221924,47.432156,61.073059,-13.640903,treated,64.452438,139793856,0.13391323,0.14654063,0.13531163,0.017894441,0.083558463,1.0741169,0.051208753,0.069162697,0.057193402,0.030983372,0.11469021,0.61456501,0.13526632,0.14080891,0.023636246,0.040508445,0.048999421,0.057193402,0.17698681,0.047574837,0.27383482,0.06535171,0.037680313,4.0915623,0.068527289,0.041845653,0,0.041937321,0.011818123,0.085374214,0.031238833,0.04808576,0.15726829,0.22312517,0.084242016,0.024998724,0.74283367,0.52498418,0.20708402,0.037059691,0.25642836,0.17245035,0.15316001,0.24793451
